index,answer,prediction,correct
54,"Ломов Желтова
нахрапистый крупица
Руденя 9947989816
Гончаревич идиллия",ЛОМОВ Ж елтова нах рапистый крупица Руденя 9947989816 ГонЧаревич идиллия,True
55,"икона
ожог",иа ОЖОГ,False
56,отвыкать,Фвыкать,False
57,"всплывать    )
монарх Бобров
похоронка Басенко",всплызашь монарх похоронка Басенко Бобров,False
58,кок Мирошник,КОК Мирошик,False
59,дискуссия,Аоусвля,False
60,кабачок,8 # кабачок,False
61,"радиационный
кувыркнуться
кожанка",раочацчонныб кувыркнушься кожанка,False
62,"кубовой
Пчелкина
Продан",кубовой Пчелкина Продан,True
63,"беспочвенный
убаюкать Янович
маслице apple",беспочвенньй убаюкать Янович маслице арре,False
64,переноска,преноска,False
65,"возрождаться
Филистович
мускул",еозроэХоэъся Фл ~'ович мускул,False
66,"Рагель Гладкая
индивидуальность
вылазка Ширяев",Рагель Гладкая индивидуальность Вклазка Ширяев,False
67,Роллан,Роллан ,True
68,"река
неизменно",[1Ю Л@ИМННО,False
69,Маркс,Мркс,False
70,"долго;
slip",долго; $:р,False
71,чугунный,Чузунный,False
72,камергер,камерёер,False
73,"Гойя
53593
трижды",х 5ъ9 #гиди,False
74,клинопись,клИнопись,True
75,шмайссер,~лассер,False
76,усик,УСих,False
77,"Дима вислоухий
заманчиво шина
Луиза     (
Жидков ацетон",Дима ВИЛОухий заманиво ши Луива Жидков: аЦегон,False
78,"благостно
замирать)
лизинг",благоСтво замирать) лизИ,False
79,"трудящийся(
лакировать",туАШИЙа( Аскироваш,False
80,"оргпреступность
мониторинговый
Шаймухаметов.
дремучий",оргпреступность мониторинговыи Шаймухаметов: дремучий,False
81,"Петухов
Саган
минога
Приймак",Пепухов Скеа мин02 Примок,False
82,"ступа
жиреть
картон",@упа ЖИрегь Карлон,False
83,шпат,шпаш,False
84,косица,КОСИЦА,True
85,"Травкина
департамент",ТрЮВкию %рШж*ки,False
86,старомодный,Спаромодный,False
87,"косо
горком",'С КОСО горком,False
88,нагрузить,НАГРУЗИТВ,False
89,отыграться,ОТЫГРАТЬСЯ,True
90,Коржаков полуслепой,"[ор&3а7об {0лс.6,03",False
91,дань(,дан ,False
92,"сравнить
Гендель",СРАВНИТЬ ГЕНДЕЛЬ,True
93,Татарстан,Тятарстан .,False
94,"Шмелева
Кислюк",шмелееа КЧслюк,False
95,Уханова,[3 НЗа Уханов),False
96,"колок
жгут",кодох жгут,False
97,"садоводческий
подвезти",(ОдоВобЧески` пО@Зез<Ц,False
98,трек,трске,False
99,"похолодеть
МИД опилки
факельный
маринкин",6 похоЛООешь МИД ОЛШк ш факельныш МарШНКШН 1,False
100,санки,8,False
101,выхлоп,ВЫХЛОП,True
102,"шарик
пирс",швРЖ Прс,False
103,"раскапывать
роиться Каледа",раскапывать роиться Каледа 1 ),False
104,"эмбрион
13910
Кускова
ежли
перо",эмбрчон 13910 Кускова @жлч перо,False
105,лгать,ЛГ ать,True
106,минус,ШНУС,False
107,"9791230143
загасить дурка:",9791230443 ЗАГАСИТЬ  ДУРКА:,False
108,Климент,Климент,True
109,"ваучер
наоборот",паучар насбсрат,False
110,"осторожненько
переплюнуть
улыбнуться
Хвалько",осТОрожненко переплюнуть ульбнуться ХвалЛько,False
111,Кондратеня Кабиров,Кондратеня Кабиров,True
112,"одышка !
полвека",ФЭошка плеека,False
113,Долматова,Долматова,True
114,чека:,!ис,False
115,"отрог
50934",отрог 50934,True
116,"Левин
апология",Левин амолозия,False
117,"мегафон
шаманка",мегафон шаманка,True
118,"угловато
29257
берег,",угловагО 29257 берег,False
119,"9747686525
Юрчук
Давидчик
старчество
смывка",9747686525 Ю2К ДАВИДЧИК СТАРЧЕСТВО СМЫВКА,False
120,21211,21211,True
121,"встряхивать;
Фридрих  ,
энтеровирус",ВСхЕФУЕВАТЬ ШЫшИХ ЭНЕФОВИРУ(,False
122,Сытин,Сыш_н,False
123,"прославление!
упавший
отпугнуть",пославлене! упавший отпугнуть,False
124,анемия манка,анемя манка,False
125,"Матюк
сумка
пыльца
мсье ;",Матюк сумка пыльца мсье,False
126,"9398140376
боязно",9398140376 боязно,True
127,Шагин.,Шагин:,False
128,чистый слива изменник,ЧИСТЫЙ Слива иЗМеННИК,True
129,"одноименный
регата   )",одноименный регата,False
130,9799905051,9799905051,True
131,"арап?
учет",арап? учеш ;,False
132,"смерш
9536985036
ожог схождение
Савинова волочь",смерш 9536985056 @оР схолденио Савинова волочь,False
133,расстилать,"""",False
134,"жидкий
лакать",ЖИДКИЙ Лакагь,False
135,Бельгия,бэльия,False
136,"сахарин
страсть
арбалет",сахарин страсть арбалет,True
137,Подольский,брльктй 0 м23 7,False
138,святцы,сеяш>ы,False
139,"физик
Нечай
53869",Физик НЕчАй 53869,True
140,"дубасить
Смолик",дУбасигь @толх,False
141,Инга,Инга,True
142,Алай,АлАи,False
143,80163(,8О163(,False
144,"77555 Велько
смиренный 66575",пеЕ; итша Етт?н оша5,False
145,"галдеж осушить(
спагетти   (",галдеж осушить спагетти,False
146,граб,ераб,False
147,очаг,оЧаг,True
148,"Янчук.
жаль",1 1,False
149,амба,амба,True
150,"горло
Пузевич
батюшка
понижающий
пролепетать!",2орло Пузевич башювка 0 'ИНИЖаЮМИЙ ироленеимиы!,False
151,Скорина,2хорнна,False
152,Греф,ГРЕФ,True
153,важничать,ниЧать важ,False
154,разбазарить прялка,разбазаригь пяЛКа,False
155,Салтыков,СалтькоВ,False
156,"шейный
50487
81594?",ШЕЙНЫЙ 50487 81594?,True
157,Моцарт,с7ъ 32 &,False
158,клей!,КЛЕЙЛ,False
159,"морить
слепой
сшибить
чернослив","мор ш, сл по0 ;шнб ыш6 чернослч6 СО.:",False
160,Чернушевич,Чернушевич,True
161,облупить,пъ16 облу,False
162,вибрион,в1б}он,False
163,Клара,[ЛАРА,False
164,"замещение
помышлять
готовно смута",ЗАМЕЩЕНИЕ ПОМЫШЛЯТЬ ГОТОВНО СМУТА 7,False
165,наука,наука,True
166,"пулковский
хитровато",нушиьтш Ттриоаю,False
167,зачин,зачин,True
168,Кент.,Жент,False
169,"Шатило
цитология",Шатихо цито^огиЯ,False
170,"каретка
старомосковский
осмотрительно
зачитываться.",Кстетка СтароСковский сакогригелыюю зафИгьвагься,False
171,иудин!,иудин!,True
172,"Дуся
богато",Дуся богато,True
173,троп,"1 4 [2 с<,В арол",False
174,"Галенко
левит
душистый
Ганевич",Галено ЛеВИТ душистьй Ганевич,False
175,Рожина,рожина,True
176,"Козин
Храмов
невидный?",Кбй Храмов невиднй?,False
177,"дож сельва
догонять выиграть
настенный
свершаться",0 ож сельа а а о2оняшъ 8ыч:р ашъ насшенный сзершашься,False
178,"въезжать
окаймить",вьевжать окаймигь,False
179,"вахта
аборт",вахта аборг,False
180,Шилов,2 ИЛОВ,False
181,"листинг самооценка;
лизинг плантация",л :<чн2 самооценка; лЧзЧН2 планшацця,False
182,нулевой,вулевой,False
183,"питомец event
Влад
гвалт вопросик Быков(
63462 воздвижение
венский       ?",пигомец ееп Влад ГВат ВОПроси Быков( 63462 воздвижение венский,False
184,"Власик
галстук",Власик аалспук,False
185,"75597
инфа",75597 ИНфа,True
186,даос,ОИОе,False
187,"Наум стрежень доменный-
досадливый.",Наум стрежень   доменный- досадливый:,False
188,бабий,бабии (,False
189,"РСПП
прям
99259",0 ЮаЛ цМм 99259,False
190,спассеровать,спассеровашь,False
191,цыпка,цыпка,True
192,"Гребенкина 93780 сивуха
шоу-бизнес",Гребенкина 93780 сивуха шоу-бивнес,False
193,резчик,резчиж,False
194,"вмещать;
Федорова
Томас",вмещать; Федорова Томас,True
195,"потешаться
51581 вышина
зажмурить(
66536 чудно",ПОТЕШАТЬСЯ 51581 ВЫШИНА ЗАЖ МУРИТЬ( 66536 ЧУДНО,True
196,"трепанация пересказ
9631168328 бесчестный",трепнция пресказ 9631168328  бесчестьй,False
197,"root,","кооб,",False
198,"Василюк 97885
непостоянство",Васчлюк 97885 непоспоя нсшво,False
199,ножик,ВбРЗЕ .ЫЫ: 3,False
200,"трудящийся
аттестат
предстать",трудящийся агтестат предстать,False
201,Гришкова,~ $?ишова,False
202,"Стасик
Жильцова",Стасик Жильцова,True
203,"Сапронов
Марченков
энергичный
забойный )
наметиться",Сапровов Марченков 9пергичний забойнь ) наметитъся,False
204,домой,ДОМОй,True
205,"огнеупор разгибатель
43245 Лаврухин стиляга
прямиком ужесточать",огеупар разгибатель 43245 Лаврухин стиляпа прямиком  ужесточать,False
206,обегать,1,False
207,утилитарный,1пш [ЫПГ ШТПИ4 ушилишарный,False
208,"завивать
страусовый
обаятельно",заВИВаТЬ 'страусовый обаятельно,False
209,77512,77512,True
210,Бабаков,Бабакоб,False
211,"Журов  !
опереться
Симончик",Журов 11 Спереться СиУс#,False
212,9352767310,9852767919,False
213,сойка,сйка,False
214,Филатова,филатова,True
215,Саввин,(овВ Н,False
216,Сонька-,(онк,False
217,"Феоктистова term
диоптрия бензопила
Ананьева скучноватый
расстаться 9336428168(",Феоктистова {ег диоптрия бензопила Ананьева скучноватыи расстаться 9336428168(,False
218,"coat
бзик",~ф би,False
219,"Демкин
51729",ДЕМКИН 51729,True
220,"хорошее
слалом
сгубить
Чуйков",хорошее СЛОЛОМ Чуйков #сагыла Пп сане сеубшшь,False
221,"слушок
уборочная
дожать
процедура",слушок  борочная дожать процедура,False
222,брахман,бр их ман,False
223,Алданов,Алданов,True
224,"идея гогот
Фоменкова",з 1 3,False
225,"опора;
свыше
диета",опора; свыше дчеша,False
226,Журкин,Журкин,True
227,"равелин
актуально;",раселин акшуалоно;,False
228,челядь,Неяя ],False
229,"Караулов
Шанчук
купить залежь",Караулов Шанук купигь ЗаЛеЖь,False
230,"штангист студить-
филин Колосовский",штангист студигь- филин Колосовский,False
231,чаек больше,чСеК болье,False
232,маржа,маржа,True
233,"гжель
целый",2ж елъ целыб,False
234,непредвиденный,вотродолдОпАхД,False
235,9419380237,@еззота,False
236,"метелка
трейдер:
приход",МеПеЛКО шрейер; п-Ш0),False
237,"Глебов
лахтак
склад!",Глебов ЛаХтак СКЛад!,True
238,"лейка
зятек",лейка зяш6к,False
239,"захромать,",я хгЭмя,False
240,синклит:,@ЫнклЫЩ:,False
241,"спа Князев спонтанный
почесываться усомниться обнимать ген
блондин всплеск Горлова ажурный","(.( '#Я306 (ЮОНЮФННЫЙ [""26Ы @М Я (#""% 10. {лфи {жск %фл4 жж%#` {СФМШЮЬСЯ",False
242,"новодел обход Ромашко
Жолудь Гудкова выгода;
9475548212",новодел   обход   Ромашко Жолудь Гудкова выгода; 9475548212,True
243,"verb
база",Ф@гЬ база:,False
244,"ликбез
эпоха
дисковый
Чечура
Вареник",либез эпоха дискОВЬЙ Чечура Вареюк,False
245,finger),"{{""]",False
246,"непроверенный
хохотнуть",непроверенный хохопут,False
247,36816,36816,True
248,успенский,Усп@нскчй,False
249,Рублев,Рублев,True
250,Юрлов,Юрлов,True
251,"Саков
Иудея",Сакос Иудея,False
252,"lady
членский
подружка
Смолко",]афу членскчй подружка Смолко,False
253,"натолкнуть
вразброд,
Семченко
служка",натолкнуть вразброд; Семченко служ ка,False
254,"выстудить
Аврамчик -",ВСМДИГЬ АВРАМЧИ,False
255,"Конов,",КонО8],False
256,"взрослеть
оглашаться
ветровой",ВЗрОСЛеТЬ ОГЛашаься вегровоя,False
257,слега,слеео,False
258,ну-у,Ну,False
259,"подвесить
Кучумов
ералаш",ПОДЕЕСИГЬ КЧМОВ ЕАЛИш,False
260,суетливо,Суетливо,True
261,"закат
14234",закат 14234,True
262,9331007319,9331007319,True
263,"Бугрова
9295968930
Скороходов
Янкевич
значок",Буарова 9295968930 Скороходов ЯнкеВшч ЗНаЧОК,False
264,свести,@@<,False
265,"овация вой
расстегнуть
полноватый (",овация ВОЙ раоотепнуть ПО^ новатый (,False
266,Глазырин,ГЛОЗЫРИН,False
267,Кощей МПА,МПА кощей,False
268,"байдара
фляжка
наяву",БАЙД АРА ФЛЯЖКА НАЯ В7,False
269,"меццо-сопрано
Горнак;
многотомный
воинственно
вскидываться",меццо-сопрано Горнак; МНОГОТОМНЫЙ воИНсТвенно вскидываТЬсЯ,True
270,"сыночек
проем
доложиться",СынОЧек проем долОжиться,True
271,ВГИК,ВГИК.,False
272,складной!,СКладной,False
273,"кинокомедия
судовой",КИНОКОМеДИЯ судовой,True
274,9734573763,9734573763,True
275,наказанье,ЫаказанЬе,False
276,"освятить
Киселева","О(ВЯТИТЬ Ш1 КИСеЛОВа Ч,.;",False
277,"косноязычный
салфетка
запеленать",КОСНОЯзЪнъй сФлф етка зиъелен(лъ,False
278,вобла,Собла,False
279,глушь,глушь,True
280,56293,56207,False
281,"джемпер
шапочка",джемпер палочка,False
282,"11592
замша
отходы(",{[2 ЭАМП ОПХОДЫ(,False
283,"вакцинный
прожить -
угнетать ;",вакцинные прохшь ушааь 2,False
284,разработчик,[(рабошччк,False
285,"облететь
помахать южанин",( @бж@ @иъ {ом( @ш южанин,False
286,Каминский,Камчн(к0й,False
287,пролонгировать!,"""Ролонгировеа",False
288,Олейникова,Олейникова,True
289,"Русских
фотка
перенос",Русских фотка перенос,True
290,Салей,((ЛеЧ,False
291,Гончаренок,Гавчарених,False
292,"эмоциональный
эстетически вложиться
потягивать огромный;",ЭМОЦИОНаЛЬНыЙ эстетически ВЛОЖИТЬСЯ потягивать огромный;,True
293,"рокан
вест",рокан вест,True
294,"карат
бронь
ливрея",караш бронь лчерея,False
295,"догнать
лотерея
слабнуть",догнать лотерея слабнуть,True
296,"Хейфец
задрать
40109,",Хейфец задрать 40109,False
297,ходики,ХОД.к>,False
298,Осмоловский,ОСМОЛОВСКИЙ,True
299,заклинание,завячнанис,False
300,89189,89189,True
301,"9708626915 секрет Фроленко
10775 запариться 9935867172
68540 58237 Ахмадеева кулачок  ;
присосаться порхать мастеровитый",9708626915 (@Крет ФрОЛСЮО 10775   заприья 9935867172 68540 58237 Ахмеев куЛЯК ; [ИСОСаТЬЯ ЮрЖаТь  МОСТеРОВИЬЙ,False
302,"печенье
Мячина
Смыслова
делать",печене Мячина Смыслова делать,False
303,"вобрать
лабиринт",вобрашь лабшршнш,False
304,"Шейко
комбриг",Шейко комбри2,False
305,улюлюканье:,улолюканье:,False
306,63523,63523,True
307,"игрек
Лесняк",ирек Лесняк,False
308,глаз,#ы[ 50 208,False
309,"варьировать
марионетка(",варьировать марионетка(,True
310,"отбой
Юлий",ОТБОЙ 20П9 ЮЛИЙ,False
311,солома,СОЛОма,True
312,"9426716317(
партактив;",9/26 +1617( (ршабьо,False
313,"усадить
прялка
рвота",[НИИьЬ [И [,False
314,Зезюлина,Зевюлиюа,False
315,"рядком
мироточение
Стасюкевич
ансамбль",рЯДКОМ мироточене Стасюкевин ансамбЛЬ,False
316,"Конаков зевака
посвистеть  :","Ко_ "" ОСбиС?еЪЪ",False
317,шельф,шельф,True
318,"свое
проблеск
размен
скушать",свое проблеск раз мен скушать,True
319,"сосец
пара !",сосец пра !,False
320,"вертеть кортеж
гаражный Лапцевич",вертеть кортеж гараж ный Лапцевич,True
321,Майстрович,Майстрович,True
322,именование!,имеюование!,False
323,воспринимать,росприниматъ,False
324,"ясность
фехтовать
Жарикова",ЯСНОСТЬ ФЕХТОВАТЬ ЖАРИКОВА,True
325,неопределимый,КЕОпределимьй,False
326,"резиновый
Соломко
тютелька",реЗинобый Соломко иющельки,False
327,прорубь 83227,прорубь 83227,True
328,Битель,Бытелъ,False
329,седина,седина,True
330,"умильно
Степченко
застава
ценностный",умиль Степченко застава ценностный,False
331,"лисичка
трещать",лисичка трещать,True
332,"мгла платан
Кураленко
брянский",мгла платан Кураленко брянский,True
333,"шприц
одеть",шприц одеть,True
334,"искоренить ask
усопший
экстази",искораигь 8к УСОщня ЭХСтави,False
335,"язык
парта",ПРА Аок,False
336,Жодик,ЖОДИК,True
337,Германов:,"({{""счо:",False
338,23750,03756,False
339,"прогуляться
малокровный
Черникова ?",пр озуляшься малокр ооный Черникова 2,False
340,96845!,35/,False
341,"выход
Пстыга",ВЫХОД ПСТЫга Ш,False
342,"Галяутдинова 9124531034
эмиссия Чечко постфактум",Геляутдилова 914551084 9Месия Чочхо  постфазлуум,False
343,"разливка
гиперинфляция",раз{чивка КиперинфлЯщия,False
344,проблематично,"""2Юблемашич'",False
345,"остроносый
взимание",оСпрОНОСыш 80@н_? 19,False
346,"Минченко
перстенек мироощущение",МЧнченко персшенек мцроощущенне,False
347,Паутов,<аутов,False
348,"сконструировать
посыпать чемпионат-
Корхова гравий",сконструировать посыпать чемпионат- Корхова гавий,False
349,9691600660,9691600660,True
350,"солончак
укрепить
сеть)",СОЛОНЧАК УКРЕПИТЬ,False
351,"никотиновый юла
высоко вытяжной",нкоприн ша псоко Шажной,False
352,сайт,йыыы 11шшъ саа,False
353,"бумажка :
бережный
работать
пуховый",бумажка бережный работать пуховый,False
354,онлайн-,ОНЛаин,False
355,gave;,{аме;,False
356,"убежать
спора",у беж ашь спор а,False
357,"армия,",Фмыя;,False
358,"93776
Каверин
обтирать
попугай",93776 КАВЕРИН ОБТИРАТЬ ПОПУГАЙ,True
359,хобби,ЖобОе,False
360,"cross
82067",@₽ОЯ$ 82067,False
361,прельщать,прельщашь,False
362,дико?,Эшко:,False
363,"шикнуть
желаемый
десантник
толпиться?",ШИКНуть желаемьй десангнк ТОЛпгЬЯ?,False
364,выживаемость,ВЬж ИВАЕМОСТЬ,False
365,самозарядный,(@Мозарядный,False
366,"конечный
Даниэль
кошма
бортовой
Бузук  ;",КОнеЧНЙ ДаН ЛЬ КОшма бОрГовой Бузук 1,False
367,вуду,"ВУД,",False
368,Василюк,Василюк,True
369,"парняга обмотать
барыга",пария2а обмошашь барыеа,False
370,"Муха
себя",МУХА СЕБЯ,True
371,Жуков,10 Хуков,False
372,битл,биъшм,False
373,Макей,МАкей,True
374,"стойкий
Кушнерова)",Ку нерова) скойкий,False
375,улан,улан,True
376,Проханов,(роханов,False
377,"чага
колли.",Чага КОЛЛИ:,False
378,"зрелость тайм-аут
автотранспорт",9елосшь ш9: -чуш (опшра%@рш,False
379,ружьишко,'у 6,False
380,мура),мура,False
381,одиночка,2духоча,False
382,"задурить Полторак
посрамление",за99р&иь Яолиорок косролление,False
383,"ипподромный фол
полутруп",ипподромъй фол полутруп,False
384,"карлик
щека",кяелчк щэха,False
385,"сизый  )
Гаврилов
Ганиева",свыя ) Гатрилов Гашнна,False
386,подать,",одащь 2",False
387,утихомириться,угихомцрыпься,False
388,бизон,бисон,False
389,вьюга,вьга,False
390,"разлиться
уменьшать",разлчшься уменьашь,False
391,paper,Рарен,False
392,"вероятностный
57894
временный",вОроятисстнки 67894 РрОмОпни,False
393,"Сачек
льстить тутовый",САЧЕК ЛЬСТИТЬ ТУТОВЫЙ,True
394,Сазановец жизненный,(авановец жшвненный,False
395,"Лукьянцев
Бодунов",ЛхкьянцЕв БОдунов,False
396,"центр
титан",ценгр тиган,False
397,"замуж
Савчук",варуж Савчук Нг,False
398,"вправить
ломик диджей
look
заячий
Леонардо футболка",ВПЕВИГЬ ЛОМИ ДИДЖеЙ Ьк ЗаЯЧИ Леонрдо футболка,False
399,Горецкая,ГоРвдхАя,False
400,"престижно
напортить эмиграция
куница
дольмен выплакаться",кЕсТИНО НПоРигь ЭмитАшУ КНИЛИ ДОЛЬИЕН ЕЫИКТЬСЯ,False
401,"падло
подлог
сударь
Норко",паоло поОло: суаарь Норко,False
402,"Евгения
Лепеш
Довгань",Еитенш Латвл Датаю,False
403,ускакать,Ускакать,True
404,"славословие
по-черному
вколоть Ляпко",славословие по-черному ВКОЛотЪ Ляпко 9,False
405,рассеяться,РАССЕЯТЬЯ,False
406,елей,Лей,False
407,джиу-джитсу,ДЖИХ-ДЖИТС?,False
408,"Борбат Пигулевская
измазать никак
Соломко огнеупорный
Передня",Борбат Пигулевская измазагь никак Соломко огнеупорнй Передня,False
409,22846,22846,True
410,"технически
заиграть Ильинчик
Воркута рукопожатие)",тенчески заиграть Ильинчик Воркута   рукоподаиу,False
411,Шахов,Шахов,True
412,Болотов,боло/о8,False
413,раут,10 РА (,False
414,"иначе
Жилин?",чначе Жшчн?,False
415,прям,М 'р,False
416,Полянский,Полянск ,False
417,"обмахиваться
Сазановец",Обмахь чва/ься Сазановец,False
418,"хомячок
Седлецкий
корректив
тунец",ХОМЯчЭК Седлецкчй корекшче шу нец,False
419,"призрачный
никель Новоселова
дельфинарий рука
сотрясение душевой",призрачНй никель Новоселова дельфинарий рука сотрясение душеВой,False
420,"стилизовать
загорать",~<ш з_вашь з0еорашь,False
421,"недоработка
трудолюбиво",НЕДОРАБОГКА ТРУДОЛЮБИВО,False
422,барон,{,False
423,запылить,З0лълълъ,False
424,светило,С@ет1 0,False
425,"Самарин
гудеть","Симирин еу )е,ь",False
426,капитан,КОГИтОН,False
427,оземь(,ФАЧА,False
428,"85266
93816
после",85266 93816 иос^е,False
429,Мальгин,Мальгне,False
430,ваххабитский,веххабитски$,False
431,прорубь:,Прорубь:,True
432,"никнуть
Хурсан зажим невысоко обновляться грипп",ЧК- ю Хуи 3м #КЖО (жЮ/Яя ~,False
433,city,с`у,False
434,понаблюдать,понаблюдать,True
435,"антагонизм
9594625313
бесценок:",АНТАГОНИВМ 9594625318 БЕСЦЕНОК:,False
436,матерый,м(ше  ыа,False
437,"натрий
доступность
Тель-Авив
билетный
откинуть!",натрий доступность Тель-Авив билетьй ОТКИНуты,False
438,завоз,завоз,True
439,Савостьян,(Щ,False
440,"Сталин 23963
обговорить дробина
ведомость",Сш_лиъ 23963 Обжоворыэъ дробчно %долосшъ,False
441,Крук,Крук,True
442,Таджикистан пиала,' ТаАхикиотан,False
443,"Лапа
трал",Лага Трал,False
444,"сосуд
выпархивать
чванство",@@ЯУД Выпарххизать Чванство,False
445,"асбест плюс Чуркин
болячка СПИД",@сбесш 0е ЧИкшн бояЧка СПИЛ,False
446,"перепилить
коса чуять
Ермаков",",ефеиии/ь КОСО чуякь Ермаков",False
447,"сдерживаться бриг замолчать
водоснабжение лор митоген
варшавский Романко Лысенко",сдерхиваться замолчать водосвабжевие лор митогев варшавскин Ромавхо Лысевхо бриг,False
448,9964304271,996430427!,False
449,"загрязнять
санузел
начинать",затрчэнять санузел тчтать,False
450,кило-,кило-,True
451,"начхать Шиман
Батурин",НаЧХа/ь ШЫман БашурЧн,False
452,"коситься
теперь герольд",КОСЧпься @@рь   еерольа,False
453,"26076:
элита,",407 ани(е,False
454,"опоясать
припас",ОПОЯСаХЬ пршпас,False
455,пища(,ПИША(,False
456,73395,1395,False
457,"Маврин
знахарь",Мотрдл опоторь,False
458,"Кузякин
Шефер
глухомань",Хувякин Шефер тлухомань,False
459,досуг,{,False
460,"Салихов
рдеть
оживить",Телиов %деть оживить,False
461,училище,УчилиЩе,True
462,резистор,резистор,True
463,татарский,татарский,True
464,норд,кора,False
465,ахти,2 6 ахти,False
466,наметка,наметка,True
467,"армяк
Рязанов",армяк Рязанов,True
468,киселевский:,"7] <се "" [ыл?",False
469,атом,апом,False
470,Фридман,оридман,False
471,"сталь Босния
плечики)
парашют
Шугай Ищук)",Сталь Босния плечики) парашют Шугай Ищук),True
472,"мести
бесстрашие
Шорников
епископат
кайма,",мести бесстраши; | Шорников опискоПат каима;,False
473,угореть,!зорбиу,False
474,биосферный,биосферный,True
475,гласно,'эласно,False
476,"Кислов сарацин цветочный
никак
вырисовываться",КИСЛОВ сарацин цветочный НИКаК ВЬрИСОВЬВаТЬся,False
477,99687,99687,True
478,"расовый
выткать",росовьй ВЫКСТЬ,False
479,"Цыбин.
юрьев",Цыбин юрьев,False
480,план-,ОЛАН ,False
481,"планктон
древостой
воин",планкшон ~ревосшой З0ЧН,False
482,78741,7874 7,False
483,крона,крона,True
484,"низкочастотный
отстаивание
вяз булькнуть",НВКОЧаСТОТЬЙ ОтсТаиване ВЯЗ булькнуть,False
485,Чура-,Чура -,True
486,щелка,шелка,False
487,95285,,False
488,"трио
вроде:",{9О Выры,False
489,"практичный блаженство
Резникова поэтому",тракшъчнъй бложенсшво Резников тоэшому,False
490,ударять,Ударять,True
491,Манаев,Ианое ,False
492,9668712443,9668712415,False
493,Шашок,Шашок,True
494,"белоручка
Мардас
добывающий",белоручка Марбас Ообыеающчй,False
495,"сливной
лысина",сливной лысина,True
496,речь,речь,True
497,"депрессия
Счастный :",депрессия Счастный,False
498,крик,хрик,False
499,"продажа
Рындин:",ПРОДАЖА Рындин: 3,False
500,почетно?,Хочетно?,False
501,94358:,9352,False
502,Бедрицкий;,Бедрицкий;,True
503,евроремонт,еброрелои},False
504,"научаться ожог
текстильщик
Романько",научашья ОЖО2 <ек(ПШЬЩЦК Романько,False
