index,answer,prediction
36,"шиться
87025",питвау 87025
37,СУБД,89ъ9
38,увеселительный,увэселителыьй
39,корифей,кориосй
40,"диоксид
темно
47381
запасти .
седалище",ДИОКСИД темно 47381 запасти седалище
41,Юлдашева,Юлдашова
42,Рябцева),РЯВЦЕВА) 5 [{2 С_ЧБ
43,"Кудревич
булькать",К{'ебич бульк шь
44,"делец
Семко",Семк о Оел ец
45,"smile
круг",ЗМ-_Е КРУГ
46,"Хватов;
тостер",ОВ гягшъ = Хва7 То Етер
47,"горький Зимин
наградить 9307300401",гарький   Змин наградить 9ШПЗОМШ
48,Костевич,Костеви 
49,калым,клым
50,посланец,Ъосланещ
51,"прогреметь
шелкопряд
гадский",АТи прогреметь шелкопряд гадский
52,салфетка.,салфетка:
53,"ride
little",г1фе [й++}е
54,"Ломов Желтова
нахрапистый крупица
Руденя 9947989816
Гончаревич идиллия",ЛОМОВ Ж елтова нах рапистый крупица Руденя 9947989816 ГонЧаревич идиллия
55,"икона
ожог",иа ОЖОГ
56,отвыкать,Фвыкать
57,"всплывать    )
монарх Бобров
похоронка Басенко",всплызашь монарх похоронка Басенко Бобров
58,кок Мирошник,КОК Мирошик
59,дискуссия,Аоусвля
60,кабачок,8 # кабачок
61,"радиационный
кувыркнуться
кожанка",раочацчонныб кувыркнушься кожанка
62,"кубовой
Пчелкина
Продан",кубовой Пчелкина Продан
63,"беспочвенный
убаюкать Янович
маслице apple",беспочвенньй убаюкать Янович маслице арре
64,переноска,преноска
65,"возрождаться
Филистович
мускул",еозроэХоэъся Фл ~'ович мускул
66,"Рагель Гладкая
индивидуальность
вылазка Ширяев",Рагель Гладкая индивидуальность Вклазка Ширяев
67,Роллан,Роллан 
68,"река
неизменно",[1Ю Л@ИМННО
69,Маркс,Мркс
70,"долго;
slip",долго; $:р
71,чугунный,Чузунный
72,камергер,камерёер
73,"Гойя
53593
трижды",х 5ъ9 #гиди
74,клинопись,клИнопись
75,шмайссер,~лассер
76,усик,УСих
77,"Дима вислоухий
заманчиво шина
Луиза     (
Жидков ацетон",Дима ВИЛОухий заманиво ши Луива Жидков: аЦегон
78,"благостно
замирать)
лизинг",благоСтво замирать) лизИ
79,"трудящийся(
лакировать",туАШИЙа( Аскироваш
80,"оргпреступность
мониторинговый
Шаймухаметов.
дремучий",оргпреступность мониторинговыи Шаймухаметов: дремучий
81,"Петухов
Саган
минога
Приймак",Пепухов Скеа мин02 Примок
82,"ступа
жиреть
картон",@упа ЖИрегь Карлон
83,шпат,шпаш
84,косица,КОСИЦА
85,"Травкина
департамент",ТрЮВкию %рШж*ки
86,старомодный,Спаромодный
87,"косо
горком",'С КОСО горком
88,нагрузить,НАГРУЗИТВ
89,отыграться,ОТЫГРАТЬСЯ
90,Коржаков полуслепой,"[ор&3а7об {0лс.6,03"
91,дань(,дан 
92,"сравнить
Гендель",СРАВНИТЬ ГЕНДЕЛЬ
93,Татарстан,Тятарстан .
94,"Шмелева
Кислюк",шмелееа КЧслюк
95,Уханова,[3 НЗа Уханов)
96,"колок
жгут",кодох жгут
97,"садоводческий
подвезти",(ОдоВобЧески` пО@Зез<Ц
98,трек,трске
99,"похолодеть
МИД опилки
факельный
маринкин",6 похоЛООешь МИД ОЛШк ш факельныш МарШНКШН 1
100,санки,8
101,выхлоп,ВЫХЛОП
102,"шарик
пирс",швРЖ Прс
103,"раскапывать
роиться Каледа",раскапывать роиться Каледа 1 )
104,"эмбрион
13910
Кускова
ежли
перо",эмбрчон 13910 Кускова @жлч перо
105,лгать,ЛГ ать
106,минус,ШНУС
107,"9791230143
загасить дурка:",9791230443 ЗАГАСИТЬ  ДУРКА:
108,Климент,Климент
109,"ваучер
наоборот",паучар насбсрат
110,"осторожненько
переплюнуть
улыбнуться
Хвалько",осТОрожненко переплюнуть ульбнуться ХвалЛько
111,Кондратеня Кабиров,Кондратеня Кабиров
112,"одышка !
полвека",ФЭошка плеека
113,Долматова,Долматова
114,чека:,!ис
115,"отрог
50934",отрог 50934
116,"Левин
апология",Левин амолозия
117,"мегафон
шаманка",мегафон шаманка
118,"угловато
29257
берег,",угловагО 29257 берег
119,"9747686525
Юрчук
Давидчик
старчество
смывка",9747686525 Ю2К ДАВИДЧИК СТАРЧЕСТВО СМЫВКА
120,21211,21211
121,"встряхивать;
Фридрих  ,
энтеровирус",ВСхЕФУЕВАТЬ ШЫшИХ ЭНЕФОВИРУ(
122,Сытин,Сыш_н
123,"прославление!
упавший
отпугнуть",пославлене! упавший отпугнуть
124,анемия манка,анемя манка
125,"Матюк
сумка
пыльца
мсье ;",Матюк сумка пыльца мсье
126,"9398140376
боязно",9398140376 боязно
127,Шагин.,Шагин:
128,чистый слива изменник,ЧИСТЫЙ Слива иЗМеННИК
129,"одноименный
регата   )",одноименный регата
130,9799905051,9799905051
131,"арап?
учет",арап? учеш ;
132,"смерш
9536985036
ожог схождение
Савинова волочь",смерш 9536985056 @оР схолденио Савинова волочь
133,расстилать,""""
134,"жидкий
лакать",ЖИДКИЙ Лакагь
135,Бельгия,бэльия
136,"сахарин
страсть
арбалет",сахарин страсть арбалет
137,Подольский,брльктй 0 м23 7
138,святцы,сеяш>ы
139,"физик
Нечай
53869",Физик НЕчАй 53869
140,"дубасить
Смолик",дУбасигь @толх
141,Инга,Инга
142,Алай,АлАи
143,80163(,8О163(
144,"77555 Велько
смиренный 66575",пеЕ; итша Етт?н оша5
145,"галдеж осушить(
спагетти   (",галдеж осушить спагетти
146,граб,ераб
147,очаг,оЧаг
148,"Янчук.
жаль",1 1
149,амба,амба
150,"горло
Пузевич
батюшка
понижающий
пролепетать!",2орло Пузевич башювка 0 'ИНИЖаЮМИЙ ироленеимиы!
151,Скорина,2хорнна
152,Греф,ГРЕФ
153,важничать,ниЧать важ
154,разбазарить прялка,разбазаригь пяЛКа
155,Салтыков,СалтькоВ
156,"шейный
50487
81594?",ШЕЙНЫЙ 50487 81594?
157,Моцарт,с7ъ 32 &
158,клей!,КЛЕЙЛ
159,"морить
слепой
сшибить
чернослив","мор ш, сл по0 ;шнб ыш6 чернослч6 СО.:"
160,Чернушевич,Чернушевич
161,облупить,пъ16 облу
162,вибрион,в1б}он
163,Клара,[ЛАРА
164,"замещение
помышлять
готовно смута",ЗАМЕЩЕНИЕ ПОМЫШЛЯТЬ ГОТОВНО СМУТА 7
165,наука,наука
166,"пулковский
хитровато",нушиьтш Ттриоаю
167,зачин,зачин
168,Кент.,Жент
169,"Шатило
цитология",Шатихо цито^огиЯ
170,"каретка
старомосковский
осмотрительно
зачитываться.",Кстетка СтароСковский сакогригелыюю зафИгьвагься
171,иудин!,иудин!
172,"Дуся
богато",Дуся богато
173,троп,"1 4 [2 с<,В арол"
174,"Галенко
левит
душистый
Ганевич",Галено ЛеВИТ душистьй Ганевич
175,Рожина,рожина
176,"Козин
Храмов
невидный?",Кбй Храмов невиднй?
177,"дож сельва
догонять выиграть
настенный
свершаться",0 ож сельа а а о2оняшъ 8ыч:р ашъ насшенный сзершашься
178,"въезжать
окаймить",вьевжать окаймигь
179,"вахта
аборт",вахта аборг
180,Шилов,2 ИЛОВ
181,"листинг самооценка;
лизинг плантация",л :<чн2 самооценка; лЧзЧН2 планшацця
182,нулевой,вулевой
183,"питомец event
Влад
гвалт вопросик Быков(
63462 воздвижение
венский       ?",пигомец ееп Влад ГВат ВОПроси Быков( 63462 воздвижение венский
184,"Власик
галстук",Власик аалспук
185,"75597
инфа",75597 ИНфа
186,даос,ОИОе
187,"Наум стрежень доменный-
досадливый.",Наум стрежень   доменный- досадливый:
188,бабий,бабии (
189,"РСПП
прям
99259",0 ЮаЛ цМм 99259
190,спассеровать,спассеровашь
191,цыпка,цыпка
192,"Гребенкина 93780 сивуха
шоу-бизнес",Гребенкина 93780 сивуха шоу-бивнес
193,резчик,резчиж
194,"вмещать;
Федорова
Томас",вмещать; Федорова Томас
195,"потешаться
51581 вышина
зажмурить(
66536 чудно",ПОТЕШАТЬСЯ 51581 ВЫШИНА ЗАЖ МУРИТЬ( 66536 ЧУДНО
196,"трепанация пересказ
9631168328 бесчестный",трепнция пресказ 9631168328  бесчестьй
197,"root,","кооб,"
198,"Василюк 97885
непостоянство",Васчлюк 97885 непоспоя нсшво
199,ножик,ВбРЗЕ .ЫЫ: 3
200,"трудящийся
аттестат
предстать",трудящийся агтестат предстать
201,Гришкова,~ $?ишова
202,"Стасик
Жильцова",Стасик Жильцова
203,"Сапронов
Марченков
энергичный
забойный )
наметиться",Сапровов Марченков 9пергичний забойнь ) наметитъся
204,домой,ДОМОй
205,"огнеупор разгибатель
43245 Лаврухин стиляга
прямиком ужесточать",огеупар разгибатель 43245 Лаврухин стиляпа прямиком  ужесточать
206,обегать,1
207,утилитарный,1пш [ЫПГ ШТПИ4 ушилишарный
208,"завивать
страусовый
обаятельно",заВИВаТЬ 'страусовый обаятельно
209,77512,77512
210,Бабаков,Бабакоб
211,"Журов  !
опереться
Симончик",Журов 11 Спереться СиУс#
212,9352767310,9852767919
213,сойка,сйка
214,Филатова,филатова
215,Саввин,(овВ Н
216,Сонька-,(онк
217,"Феоктистова term
диоптрия бензопила
Ананьева скучноватый
расстаться 9336428168(",Феоктистова {ег диоптрия бензопила Ананьева скучноватыи расстаться 9336428168(
218,"coat
бзик",~ф би
219,"Демкин
51729",ДЕМКИН 51729
220,"хорошее
слалом
сгубить
Чуйков",хорошее СЛОЛОМ Чуйков #сагыла Пп сане сеубшшь
221,"слушок
уборочная
дожать
процедура",слушок  борочная дожать процедура
222,брахман,бр их ман
223,Алданов,Алданов
224,"идея гогот
Фоменкова",з 1 3
225,"опора;
свыше
диета",опора; свыше дчеша
226,Журкин,Журкин
227,"равелин
актуально;",раселин акшуалоно;
228,челядь,Неяя ]
229,"Караулов
Шанчук
купить залежь",Караулов Шанук купигь ЗаЛеЖь
230,"штангист студить-
филин Колосовский",штангист студигь- филин Колосовский
231,чаек больше,чСеК болье
232,маржа,маржа
233,"гжель
целый",2ж елъ целыб
234,непредвиденный,вотродолдОпАхД
235,9419380237,@еззота
236,"метелка
трейдер:
приход",МеПеЛКО шрейер; п-Ш0)
237,"Глебов
лахтак
склад!",Глебов ЛаХтак СКЛад!
238,"лейка
зятек",лейка зяш6к
239,"захромать,",я хгЭмя
240,синклит:,@ЫнклЫЩ:
241,"спа Князев спонтанный
почесываться усомниться обнимать ген
блондин всплеск Горлова ажурный","(.( '#Я306 (ЮОНЮФННЫЙ [""26Ы @М Я (#""% 10. {лфи {жск %фл4 жж%#` {СФМШЮЬСЯ"
242,"новодел обход Ромашко
Жолудь Гудкова выгода;
9475548212",новодел   обход   Ромашко Жолудь Гудкова выгода; 9475548212
243,"verb
база",Ф@гЬ база:
244,"ликбез
эпоха
дисковый
Чечура
Вареник",либез эпоха дискОВЬЙ Чечура Вареюк
245,finger),"{{""]"
246,"непроверенный
хохотнуть",непроверенный хохопут
247,36816,36816
248,успенский,Усп@нскчй
249,Рублев,Рублев
250,Юрлов,Юрлов
251,"Саков
Иудея",Сакос Иудея
252,"lady
членский
подружка
Смолко",]афу членскчй подружка Смолко
253,"натолкнуть
вразброд,
Семченко
служка",натолкнуть вразброд; Семченко служ ка
254,"выстудить
Аврамчик -",ВСМДИГЬ АВРАМЧИ
255,"Конов,",КонО8]
256,"взрослеть
оглашаться
ветровой",ВЗрОСЛеТЬ ОГЛашаься вегровоя
257,слега,слеео
258,ну-у,Ну
259,"подвесить
Кучумов
ералаш",ПОДЕЕСИГЬ КЧМОВ ЕАЛИш
260,суетливо,Суетливо
261,"закат
14234",закат 14234
262,9331007319,9331007319
263,"Бугрова
9295968930
Скороходов
Янкевич
значок",Буарова 9295968930 Скороходов ЯнкеВшч ЗНаЧОК
264,свести,@@<
265,"овация вой
расстегнуть
полноватый (",овация ВОЙ раоотепнуть ПО^ новатый (
266,Глазырин,ГЛОЗЫРИН
267,Кощей МПА,МПА кощей
268,"байдара
фляжка
наяву",БАЙД АРА ФЛЯЖКА НАЯ В7
269,"меццо-сопрано
Горнак;
многотомный
воинственно
вскидываться",меццо-сопрано Горнак; МНОГОТОМНЫЙ воИНсТвенно вскидываТЬсЯ
270,"сыночек
проем
доложиться",СынОЧек проем долОжиться
271,ВГИК,ВГИК.
272,складной!,СКладной
273,"кинокомедия
судовой",КИНОКОМеДИЯ судовой
274,9734573763,9734573763
275,наказанье,ЫаказанЬе
276,"освятить
Киселева","О(ВЯТИТЬ Ш1 КИСеЛОВа Ч,.;"
277,"косноязычный
салфетка
запеленать",КОСНОЯзЪнъй сФлф етка зиъелен(лъ
278,вобла,Собла
279,глушь,глушь
280,56293,56207
281,"джемпер
шапочка",джемпер палочка
282,"11592
замша
отходы(",{[2 ЭАМП ОПХОДЫ(
283,"вакцинный
прожить -
угнетать ;",вакцинные прохшь ушааь 2
284,разработчик,[(рабошччк
285,"облететь
помахать южанин",( @бж@ @иъ {ом( @ш южанин
286,Каминский,Камчн(к0й
287,пролонгировать!,"""Ролонгировеа"
288,Олейникова,Олейникова
289,"Русских
фотка
перенос",Русских фотка перенос
290,Салей,((ЛеЧ
291,Гончаренок,Гавчарених
292,"эмоциональный
эстетически вложиться
потягивать огромный;",ЭМОЦИОНаЛЬНыЙ эстетически ВЛОЖИТЬСЯ потягивать огромный;
293,"рокан
вест",рокан вест
294,"карат
бронь
ливрея",караш бронь лчерея
295,"догнать
лотерея
слабнуть",догнать лотерея слабнуть
296,"Хейфец
задрать
40109,",Хейфец задрать 40109
297,ходики,ХОД.к>
298,Осмоловский,ОСМОЛОВСКИЙ
299,заклинание,завячнанис
300,89189,89189
301,"9708626915 секрет Фроленко
10775 запариться 9935867172
68540 58237 Ахмадеева кулачок  ;
присосаться порхать мастеровитый",9708626915 (@Крет ФрОЛСЮО 10775   заприья 9935867172 68540 58237 Ахмеев куЛЯК ; [ИСОСаТЬЯ ЮрЖаТь  МОСТеРОВИЬЙ
302,"печенье
Мячина
Смыслова
делать",печене Мячина Смыслова делать
303,"вобрать
лабиринт",вобрашь лабшршнш
304,"Шейко
комбриг",Шейко комбри2
305,улюлюканье:,улолюканье:
306,63523,63523
307,"игрек
Лесняк",ирек Лесняк
308,глаз,#ы[ 50 208
309,"варьировать
марионетка(",варьировать марионетка(
310,"отбой
Юлий",ОТБОЙ 20П9 ЮЛИЙ
311,солома,СОЛОма
312,"9426716317(
партактив;",9/26 +1617( (ршабьо
313,"усадить
прялка
рвота",[НИИьЬ [И [
314,Зезюлина,Зевюлиюа
315,"рядком
мироточение
Стасюкевич
ансамбль",рЯДКОМ мироточене Стасюкевин ансамбЛЬ
316,"Конаков зевака
посвистеть  :","Ко_ "" ОСбиС?еЪЪ"
317,шельф,шельф
318,"свое
проблеск
размен
скушать",свое проблеск раз мен скушать
319,"сосец
пара !",сосец пра !
320,"вертеть кортеж
гаражный Лапцевич",вертеть кортеж гараж ный Лапцевич
321,Майстрович,Майстрович
322,именование!,имеюование!
323,воспринимать,росприниматъ
324,"ясность
фехтовать
Жарикова",ЯСНОСТЬ ФЕХТОВАТЬ ЖАРИКОВА
325,неопределимый,КЕОпределимьй
326,"резиновый
Соломко
тютелька",реЗинобый Соломко иющельки
327,прорубь 83227,прорубь 83227
328,Битель,Бытелъ
329,седина,седина
330,"умильно
Степченко
застава
ценностный",умиль Степченко застава ценностный
331,"лисичка
трещать",лисичка трещать
332,"мгла платан
Кураленко
брянский",мгла платан Кураленко брянский
333,"шприц
одеть",шприц одеть
334,"искоренить ask
усопший
экстази",искораигь 8к УСОщня ЭХСтави
335,"язык
парта",ПРА Аок
336,Жодик,ЖОДИК
337,Германов:,"({{""счо:"
338,23750,03756
339,"прогуляться
малокровный
Черникова ?",пр озуляшься малокр ооный Черникова 2
340,96845!,35/
341,"выход
Пстыга",ВЫХОД ПСТЫга Ш
342,"Галяутдинова 9124531034
эмиссия Чечко постфактум",Геляутдилова 914551084 9Месия Чочхо  постфазлуум
343,"разливка
гиперинфляция",раз{чивка КиперинфлЯщия
344,проблематично,"""2Юблемашич'"
345,"остроносый
взимание",оСпрОНОСыш 80@н_? 19
346,"Минченко
перстенек мироощущение",МЧнченко персшенек мцроощущенне
347,Паутов,<аутов
348,"сконструировать
посыпать чемпионат-
Корхова гравий",сконструировать посыпать чемпионат- Корхова гавий
349,9691600660,9691600660
350,"солончак
укрепить
сеть)",СОЛОНЧАК УКРЕПИТЬ
351,"никотиновый юла
высоко вытяжной",нкоприн ша псоко Шажной
352,сайт,йыыы 11шшъ саа
353,"бумажка :
бережный
работать
пуховый",бумажка бережный работать пуховый
354,онлайн-,ОНЛаин
355,gave;,{аме;
356,"убежать
спора",у беж ашь спор а
357,"армия,",Фмыя;
358,"93776
Каверин
обтирать
попугай",93776 КАВЕРИН ОБТИРАТЬ ПОПУГАЙ
359,хобби,ЖобОе
360,"cross
82067",@₽ОЯ$ 82067
361,прельщать,прельщашь
362,дико?,Эшко:
363,"шикнуть
желаемый
десантник
толпиться?",ШИКНуть желаемьй десангнк ТОЛпгЬЯ?
364,выживаемость,ВЬж ИВАЕМОСТЬ
365,самозарядный,(@Мозарядный
366,"конечный
Даниэль
кошма
бортовой
Бузук  ;",КОнеЧНЙ ДаН ЛЬ КОшма бОрГовой Бузук 1
367,вуду,"ВУД,"
368,Василюк,Василюк
369,"парняга обмотать
барыга",пария2а обмошашь барыеа
370,"Муха
себя",МУХА СЕБЯ
371,Жуков,10 Хуков
372,битл,биъшм
373,Макей,МАкей
374,"стойкий
Кушнерова)",Ку нерова) скойкий
375,улан,улан
376,Проханов,(роханов
377,"чага
колли.",Чага КОЛЛИ:
378,"зрелость тайм-аут
автотранспорт",9елосшь ш9: -чуш (опшра%@рш
379,ружьишко,'у 6
380,мура),мура
381,одиночка,2духоча
382,"задурить Полторак
посрамление",за99р&иь Яолиорок косролление
383,"ипподромный фол
полутруп",ипподромъй фол полутруп
384,"карлик
щека",кяелчк щэха
385,"сизый  )
Гаврилов
Ганиева",свыя ) Гатрилов Гашнна
386,подать,",одащь 2"
387,утихомириться,угихомцрыпься
388,бизон,бисон
389,вьюга,вьга
390,"разлиться
уменьшать",разлчшься уменьашь
391,paper,Рарен
392,"вероятностный
57894
временный",вОроятисстнки 67894 РрОмОпни
393,"Сачек
льстить тутовый",САЧЕК ЛЬСТИТЬ ТУТОВЫЙ
394,Сазановец жизненный,(авановец жшвненный
395,"Лукьянцев
Бодунов",ЛхкьянцЕв БОдунов
396,"центр
титан",ценгр тиган
397,"замуж
Савчук",варуж Савчук Нг
398,"вправить
ломик диджей
look
заячий
Леонардо футболка",ВПЕВИГЬ ЛОМИ ДИДЖеЙ Ьк ЗаЯЧИ Леонрдо футболка
399,Горецкая,ГоРвдхАя
400,"престижно
напортить эмиграция
куница
дольмен выплакаться",кЕсТИНО НПоРигь ЭмитАшУ КНИЛИ ДОЛЬИЕН ЕЫИКТЬСЯ
401,"падло
подлог
сударь
Норко",паоло поОло: суаарь Норко
402,"Евгения
Лепеш
Довгань",Еитенш Латвл Датаю
403,ускакать,Ускакать
404,"славословие
по-черному
вколоть Ляпко",славословие по-черному ВКОЛотЪ Ляпко 9
405,рассеяться,РАССЕЯТЬЯ
406,елей,Лей
407,джиу-джитсу,ДЖИХ-ДЖИТС?
408,"Борбат Пигулевская
измазать никак
Соломко огнеупорный
Передня",Борбат Пигулевская измазагь никак Соломко огнеупорнй Передня
409,22846,22846
410,"технически
заиграть Ильинчик
Воркута рукопожатие)",тенчески заиграть Ильинчик Воркута   рукоподаиу
411,Шахов,Шахов
412,Болотов,боло/о8
413,раут,10 РА (
414,"иначе
Жилин?",чначе Жшчн?
415,прям,М 'р
416,Полянский,Полянск 
417,"обмахиваться
Сазановец",Обмахь чва/ься Сазановец
418,"хомячок
Седлецкий
корректив
тунец",ХОМЯчЭК Седлецкчй корекшче шу нец
419,"призрачный
никель Новоселова
дельфинарий рука
сотрясение душевой",призрачНй никель Новоселова дельфинарий рука сотрясение душеВой
420,"стилизовать
загорать",~<ш з_вашь з0еорашь
421,"недоработка
трудолюбиво",НЕДОРАБОГКА ТРУДОЛЮБИВО
422,барон,{
423,запылить,З0лълълъ
424,светило,С@ет1 0
425,"Самарин
гудеть","Симирин еу )е,ь"
426,капитан,КОГИтОН
427,оземь(,ФАЧА
428,"85266
93816
после",85266 93816 иос^е
429,Мальгин,Мальгне
430,ваххабитский,веххабитски$
431,прорубь:,Прорубь:
432,"никнуть
Хурсан зажим невысоко обновляться грипп",ЧК- ю Хуи 3м #КЖО (жЮ/Яя ~
433,city,с`у
434,понаблюдать,понаблюдать
435,"антагонизм
9594625313
бесценок:",АНТАГОНИВМ 9594625318 БЕСЦЕНОК:
436,матерый,м(ше  ыа
437,"натрий
доступность
Тель-Авив
билетный
откинуть!",натрий доступность Тель-Авив билетьй ОТКИНуты
438,завоз,завоз
439,Савостьян,(Щ
440,"Сталин 23963
обговорить дробина
ведомость",Сш_лиъ 23963 Обжоворыэъ дробчно %долосшъ
441,Крук,Крук
442,Таджикистан пиала,' ТаАхикиотан
443,"Лапа
трал",Лага Трал
444,"сосуд
выпархивать
чванство",@@ЯУД Выпарххизать Чванство
445,"асбест плюс Чуркин
болячка СПИД",@сбесш 0е ЧИкшн бояЧка СПИЛ
446,"перепилить
коса чуять
Ермаков",",ефеиии/ь КОСО чуякь Ермаков"
447,"сдерживаться бриг замолчать
водоснабжение лор митоген
варшавский Романко Лысенко",сдерхиваться замолчать водосвабжевие лор митогев варшавскин Ромавхо Лысевхо бриг
448,9964304271,996430427!
449,"загрязнять
санузел
начинать",затрчэнять санузел тчтать
450,кило-,кило-
451,"начхать Шиман
Батурин",НаЧХа/ь ШЫман БашурЧн
452,"коситься
теперь герольд",КОСЧпься @@рь   еерольа
453,"26076:
элита,",407 ани(е
454,"опоясать
припас",ОПОЯСаХЬ пршпас
455,пища(,ПИША(
456,73395,1395
457,"Маврин
знахарь",Мотрдл опоторь
458,"Кузякин
Шефер
глухомань",Хувякин Шефер тлухомань
459,досуг,{
460,"Салихов
рдеть
оживить",Телиов %деть оживить
461,училище,УчилиЩе
462,резистор,резистор
463,татарский,татарский
464,норд,кора
465,ахти,2 6 ахти
466,наметка,наметка
467,"армяк
Рязанов",армяк Рязанов
468,киселевский:,"7] <се "" [ыл?"
469,атом,апом
470,Фридман,оридман
471,"сталь Босния
плечики)
парашют
Шугай Ищук)",Сталь Босния плечики) парашют Шугай Ищук)
472,"мести
бесстрашие
Шорников
епископат
кайма,",мести бесстраши; | Шорников опискоПат каима;
473,угореть,!зорбиу
474,биосферный,биосферный
475,гласно,'эласно
476,"Кислов сарацин цветочный
никак
вырисовываться",КИСЛОВ сарацин цветочный НИКаК ВЬрИСОВЬВаТЬся
477,99687,99687
478,"расовый
выткать",росовьй ВЫКСТЬ
479,"Цыбин.
юрьев",Цыбин юрьев
480,план-,ОЛАН 
481,"планктон
древостой
воин",планкшон ~ревосшой З0ЧН
482,78741,7874 7
483,крона,крона
484,"низкочастотный
отстаивание
вяз булькнуть",НВКОЧаСТОТЬЙ ОтсТаиване ВЯЗ булькнуть
485,Чура-,Чура -
486,щелка,шелка
487,95285,
488,"трио
вроде:",{9О Выры
489,"практичный блаженство
Резникова поэтому",тракшъчнъй бложенсшво Резников тоэшому
490,ударять,Ударять
491,Манаев,Ианое 
492,9668712443,9668712415
493,Шашок,Шашок
494,"белоручка
Мардас
добывающий",белоручка Марбас Ообыеающчй
495,"сливной
лысина",сливной лысина
496,речь,речь
497,"депрессия
Счастный :",депрессия Счастный
498,крик,хрик
499,"продажа
Рындин:",ПРОДАЖА Рындин: 3
500,почетно?,Хочетно?
501,94358:,9352
502,Бедрицкий;,Бедрицкий;
503,евроремонт,еброрелои}
504,"научаться ожог
текстильщик
Романько",научашья ОЖО2 <ек(ПШЬЩЦК Романько
505,"надоедать 10151:
сатиновый",надоедать 011 СаТИНОВЬИ
506,комдив,комдиВ
507,"Якубовский изгой,",Якубовский   изеощ
508,Пипко,Пипко
509,Ганс,Санс
510,"Феофан
вбежать шарада
глубочайший",Феофен 8 & ежеиь ш#р 484 2298окейчий
511,"коммунар система
кринолин взбодриться
свами выписка",кому=р итема фрилин взбодригься Фам вгиа
512,"мирный
дерзить
Шунейко
важный",мрнй АерЗИгь Шунейо ВаЖНЙ
513,9635385438,9635385438
514,Голос:,Я0&
515,Нечитайло,'ечшща&л о
516,"расцвет изгой
Войтович
Бородавко",расцвет ИЗГОЙ ВойТович Бородавко
517,"импульс
inch",импульс #пс
518,многолюдно,мнозбАюОНо
519,Шанько,Шанько
520,перестраховщик!,герестраховш
521,Дрозд,Дрозд
522,Мамин,Мамин
523,должон,но
524,"Воронюк  :
повременный",ВОрОНОК ПОВременыи
525,софизм,софцзм
526,причащение,пршчащенце
527,"Сытин щербатый )
Маркин патиссон",СЫИН щербатьй ) Маркин ПатиССОН
528,"молот ?
Качур
Колодко",2 Качур молотй Колодко
529,тиранство,В0 тирант€
530,картер.,тертер:
531,"9576343116,","9576343116,"
532,"шарфик
масло",ША РФИк МАсло
533,"панихида
МКАД  )",паншщда МКАд )
534,патриотически,ватриотичесю
535,"Кремез
наголо",Кремев наголо
536,соловей,соловей
537,"кто-то
необычность",КТО-ТО! необынносТЬ
538,микро,миро
539,10775,10775
540,Петрачкова,?етрачко {
541,"тюбик
Конго",тюбик Конго
542,Красиков,Кр асиков
543,Харбин,"ж,/бин"
544,улус,УДус
545,провиснуть,провиснуть
546,"Тетерина заупокойный
малозаметный",Звт нушиюи малтштии
547,"свежеиспеченный
буддизм Коган
гостеприимство",свежецспеченный буддшзм Козан @осш@ршшмсиво
548,"грамота
старуха
Дрожжа",гамота старуха Дрожжа
549,"Гурский рамочный
понарошку",рамочныб Гурскыш понарошку
550,условно-досрочный,УСловно досрочьй
551,"недоносок
реформатор",недоносок реформатор
