index,answer,prediction
173,KING OF THE STREET,KING OFTHO STReeT
174,граждане! ПРИ АРТОБСТРЕЛЕ эта сторона улицы наиболее ОПАСНА,FPAKOAHEI NPN APTUGCTPEAE 3TACTTROHA SANUEI HANGINEE TNACHA
175,МАТЕЛЕН НА ДОРОГЕ,OTB
176,"МЫ 
 СЛЕДИМ",NeLmM VL.RU
177,spring96.org,spring96.org
178,63 школа ул. широт ая,63 WKOAA LACKITEOA kva5.ru
179,средняя общеобразовательная школа №,JOTO-OCTOBOEOKPYOEPAIEREOEPAA UAPTAMEHTOSPASOBAHMRTOPORAMOCR MPASORATEIMROEYPRIRJREHETOPOILA IOCLAPCTEEESETE CPEIHAR OSEOSPA3OBATEJBHAA C.STHORY.TYPHGMTATAPCKHM WHOJIAN1IB6 KOMTIOHEHTOM OEPASOBAIHT
180,бизнес-центр,GM3HEC-LEHTP
181,"АМЕНТ ОБРАЗОВАНИЯ ГОРОДА 
 ВОСТОЧНОЕ ОКРУЖНОЕ УПРАВ 
 ВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ У",BM3NKOM- PEKNANHO-IPOM3BOCTBEHHASK www.vizikom-ar AMEHT O6PA3OBAHNA rOPOAA BOCTOYHOE N OKPYXHOE ynPABr BEHHOE O5PA3OBATEnbHOE yu
182,досугово-спортивный центр гармония,"Bpa84Errna-Cases-EcTeawe3e ""NOCYTOBO-CDOPTHBHbIR LEHTP""TAPMOHNA"""
183,"We prepare for 
 Cambridge 
 English QualificationsTM","Wepreparefor Cambridge Engish Qualifications"""
184,Средняя школа 23,Cpeonaa ukona23.
185,"СЕЧЕНОВСКИЙ 
 УНИВЕРСИТЕТ 
 НАУК О ЖИЗНИ",CEHSHOBOKHR YHHBEPCHTET HAYKOXM3HM
186,"СРЕДНЯЯ 
 ОБЩЕОБРАЗОВАТЕЛЬНАЯ 
 ШКОЛА №143",BPASHTEILCTEOCAHKT-IETEPSYPTA KOMHTETDOOSPA3OEAEHN CPEIHAX OEWEOBPA3OBATEJIbHAX IKOJIAN143 CYTYEIEHHHMEYEHIHEMAHTTHHCKOEOX3HKA KPACHOIBAPJERCKOTOPAROHACAHKT-IIETEFEYH'A ISIGCAHKT.HETEPEYHHHCEAHACKHORKCHEKT.LUHTEPAA PEADPASOTM:OEEILHK-DXTHHACSMJO2O6 EHXOTHHEJHBOCKHECEHLEHPATIHNHSIEJHH CYEEOTACSNJOIKM
187,"Украинская 
 Торговая Гильдия",CnC BHPOGHHAMETAAIRKOALOPI yKpaHHCKaa ToproBaATuJibIua
188,"СПОРТИВНАЯ ШКОЛА 
 ЯМАЛ",CIROPTAA HMAN
189,ХОРОВАЯ ШКОЛА Алые паруса ОРГАННЫЙ ЗАЛ,OPIAHHBIN3AI
190,СРЕДНЯЯ ШКОЛА 155,CPEIHAAIKOJIA 155
191,"Здравствуй, ШКОЛА!",Bylalcmly TIKOJLAY
192,мебели,RL BEANMESENN
193,"ЦЕНТР 
 ПСИХОЛОГО-ПЕДАГОГИЧЕСКОЙ, 
 МЕДИЦИНСКОЙ И СОЦИАЛЬНОЙ 
 ПОМОЩИ",nCHXOTOTO-BEAArOrMECKOR IEHTP
194,МФЮА,MOOA
195,Управление Книги Видео,ynpaBneHNe KHNrN Bngeo
196,Street Shop,Street Shop
197,"СТАФФ 
 КИЕВСКИЙ КЛУБ 
 КУДО",空 A LTA中中 KHEBEKKR KAYE KYAD
198,точка роста,TOYKA POCTA
199,ЦЕНТР,LVEHTP OECTYTOEYBANO KRIEHTIE
200,НАРУЖНАЯ СОГЛАСОВАНО РЕКЛАМА,COTJACOBAHO
201,Территория красоты,TeppuTopusi  kpacoTbl C
202,СКЛАД ОФИС ДЕМО-ЗЕЛ,CKJIAI OOHC JEMO-3AJ
203,ЛИГА,
204,ВЫЗОВ  ПЕРСОНАЛА,BbI30B NEPCOHANA RBE 4ca4rh21
205,Мил,MiEun
206,Абсолют Банк,AbcOnIOTBaHK
207,ОДЕЖДА,OAEKNA 生
208,АПТЕКА,AIITEKA
209,KUCHEND HOME,KOCHENLANDHOME
210,пальчики маникюр-педикюр,naAyuku MaHMKop-neAMK-Iop
211,город Солнца,nopogx AHua
212,ОЛЛЕГИЯ АДКОВАТОВ г. МОСКВЫ «ПРИЗЫВНИ,DNNETMR ABOKAY .MOC NIPW36BM
213,ТЕАТР Аквариум,
214,Ц,V
215,ТВОЙ ДОКТОР,BDECE SCEELBAMLOMO BAN
216,МИНИМАРКЕТ,MVHNMAPKET
217,ХЛЫНОВ,XISIHOB
218,КЛАССНЫЙ У ОЛОК,KJIACCHLIH YTOJIOK
219,АЗПРОМ Е,A3nPON A3GPACRPERLN BE EHC
220,переулок якорный 10,nEPEynOK AKOPHbIN 10
221,ПРЕЧИСТЕНКА улица,NPEYNCTEHKA yn NUA
222,RUE DE POITOU,RUE POITOU RE VELLEDU TENPLE
223,11,scecn HerpYp
224,ABBEY ROAD NW8,IEHADRIY ABBEY ROADNWS
225,улица МОСКОВСКАЯ 5,booeed ynNLIA MOCKOBCKAR 5
226,улица К.МАРКСА 26,ynHUA K.MAPKCA 26
227,улица Полевая 35,MoJIeBaa yauna 35
228,11 улица ГРИБОЕДОВА,11 ELOEE
229,переулокъ,PHBOKOABHHBH nEPEYnOKb TAPANARORCHAR9IR. yK sorop npaaramcsesmeropasepacrpenoe yKasare JepaHeMocKoaceaoHroToanRHeTamqxHaaEaHR a6eecn y  aaO Kpaenen 30pa EpeMo 3acran (n 1920-e roz) a Mocxne popenonxnon my Haaxxmto-auseineccmapooopause m 6 CT:Ep.30.McKX.M：Bq.2005
230,57 СОВЕТСКАЯ улица,57 COBETCKAA yaHua
231,28а улица ЛИЛИЙ,28a yaHLa D H J H
232,улица КООПЕРАТИВНАЯ 15,YJIHLA KOOIEPATNBHAX 15
233,УЛ. ЩЕПК ДОМ 29 ,TURERU 全 NSY 0OM29 S MM 
234,КАК МЫ РАБОТАЕМ,品 KAK MbI PA5OTAEM BNOCTARIRETE MCBRVBAENCR OOCTAAEREN BN ONLNAETE 3AREKY CEARN JAKAT TIPZOOTF4EHNR
235,18,SLCUROGM 8
236,RICE,RICE
237,нут,HyT
238,DONATiON,DONATION
239,НУТ,HYT
240,RICE,RICE
241,CAR,CAR
242,Firefly,Hinfi jinzhengglass.en.alibaba.com
243,DONATION,DONATION
244,PEACE  TRUE LOVE,PEACE TU:LOVE 
245,Home,Home hcindfalw lomorrosr
246,ДЛЯ ХОРОШЕГО НЕФТЯННИКА,》 AAR XOPOLLIerO NOTANNIKA
247,PASTA,pASIA
248,ДЛЯ / ЛУЧШЕГО / ДИРЕКТОРА,AAR AYYLLero AMPEKTOPA
249,Raspberry, Raspberry
250,TRAVEL,TRAVEL
251,NATRII HYDROCARBON,Bka NATRII CT WKOJUEKLMOHIKPOBAHNE www.dvaveka.nu
252,FOOD DONATION,FOOD DONATION
253,ACAT BEKKY,BERKY
254,CanStockPhoto.com,CanStockPhoto.com
255,банк россии 10 рублей 2022,POCCHU BAHK PVBJIER 2 2 2 O
256,НотарiуС,Homapiy
257,100 EURO,EURO 100 EURO 200 500
258,DREA S,S
259,СЕЛЬД,00）
260,ЧЕЛОВЕК ТРУДА,nA
261,"В баньку заходи, если чё","B BAHbKY BaxoAn, yE ECAN"
262,2,
263,OF NATURE,COV NATURE OF
264,РОССИЮ!,Bocuio!
265,На отопление,dho omonnee ONU
266,NK OF RUSSIA,
267,не жалко добавь не хватает возьми,HEHAIHO AOSARS MEHBATAET B03hMK
268,Что за надпись ПТТ на банкоматах в Турции? Это банк?,"UTO3aHaAnNCb""ITT""Ha 6aKoMaTaxBTypunn?To 6aHK? TRAVELASKRU"
269,Yeb ,yotibdi
270,СБЕР Для жизни,CBEP  *3H
271,00 EU,100EU
272,"Эй, бизнесмены ! К вам опять из банка приходили",.6CM KBaM OnT3 6aa npxon
273,ЧТО НИБУДЬ ПОПИТЬ СО ВКУСОМ ЛИМОНА,4TO HNEyUb nOnNTb COBRYCOM JNMOHA
274,MasterCard VISA,VISA Mastercard
275,CRISIS,CRISIS
276,САНКТ ПЕТЕРБУРГ ПЕТР I ПРЕОБРАЗОВАТЕЛЬ,
277,Ces e emps des cerises,Ceste Kemps des cerises rr   oL oCL AoC pg Py Py    福 uoc wel ol  p3 Py p3   富家福 pCakpGDfRog Oo0
278,Сеченовский Университет,CHEIORCERiYEVIBEPCETET CTMnIb HABNFATOP PA3PA5OTKAM3rOTOBNEHMEMMOHTAKPEKNAMHbIXKOHCTPYKLN www.sign365.ru
279,НАУКОЖИЗ,HAVKOZIDY HABNFATOP CTVnb PA3PA5OTKA.V3rOTOBNEHMEVMOHTAKPEKNAMHbIXKOHCTPYKLN www.sign365.ru
280,московский педагогический государственный университет,SIODXETHOE OSPA3OBATEIbHOEYNPEXLEHME DEAEPARSHOE TOCVAAPCTBEHNOE BCBETOOSPA3OBAHM MOCKOBCKMM NEnATOTNYECKNN FOCYAAPCTBEHHbIN YHNBEPCMTET>
281,оптика,OIITNKA
282,лужский государственный университет,
283,БОМБИЧЕСКАЯ ШАУРМА,6OM6MHECKAR LWAYPMA
284,СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ АЭРОКОСМИЧЕСКИЙ УНИВЕРСИТЕТ имени академика М.Ф. Решетнёва, rOCyAAPCTBEHHbIN CHENPCKHN YHNBEPCNTET A3POKOCMNYECKNN M.o.PeWeTHeBa MMeHN akaAeMuka
285,ЕВРОПЕЙСКИЙ УНИВЕРСИТЕТ ГОСТИНАЯ ПРОФЕССОРСКИЙ КЛУБ,H EBPOIEHCKHH VHNBEPCHTET TOCTHHAA IIPOPECCOPCKHH KJIVE
286,кристалл ювелирный магазин,KPHCTAAA COENPISN-MAFASINH
287,брэнд медиа,BP3HO MEAVA
288,аптека,VEM CA GAHTEKA 
289,АПТЕКА,+ANTEKA
290,"Акционерное общество Клинический госпиталь ""НейроВита"" ","Knuwqeckwi rocnTanb ""HeipoButan"
291,Шаурма,WoypMa S
292,УНИВЕРСИТЕТ,YHMBEPCHTETMTNO
293,cfmoto,CFMOT CARON MOTOTOXNRKH
294,государственный университет высшая школа экономики,FOCYAAPCTBEHHbIN YHNBEPCHTET BbICUAX KOIA OKOHOMHKH WWW.TAB.RU SoumEnutET
295,Жилфонд,《KMnGOHA》
296,ОТЧЕТ о деятельности Муниципальной библиотечной,OneRTenbnOCTM OT4ET MyanoGHnnoe cwcTesIropana Tae 3a2016ron
297,ЛАВКА,
298,сележ электро,CEAE>K-3AEKTPO
299,материалы 67-й универсальной научно- технической конференции студентов и молодых учёных,MATEPHAJIhI 6AYEHBEPCITETCSOAHAYVHO CTAEHTOSRNOIOXEEHNX TEXINNECKORKOHTER
300,юность,IOHOCTD
301,RISE LOUTEK,RISELOUTEK
302,О,0
303,алерея,DbIBECKA BbIBECKA CKA TATEPER S5D
304,император ба,MIEPATO
305,КОНГРЕСС, KOHFPECC MHOEOT ECTEOEOCaMOVEBH Bosunowege
306,R4S,R4S
307,ЦЕНТР ВРАЧЕБНОЙ КОСМЕТОЛОГИИ,
308,Сергей Атремьевич Айвазян,Meexoscstenyoauprutrta 3acnwcuinpoecoop sopqa-co SaWARKTAHLAEHIEE 15s Ceprei ApreMbeB AiBa3SH CouerCAasuoDsEsEreneotcp 1914Fm WOEpKPuSrEaHerRRrTOAe MuaMYmMB.oscea
309,HOURS O OPERATI MO  8am-6pm S - 5p  su  ,OPERATIC HOURS F Mon S TMrpaonka Sune rpaopi
310,P UM HANDMADE ODUCT COFFEE MADE SA,-COFFEE-
311,Qudos hair design,JUCOS design hair o
312,Ваш Текст,BauTeccm
313,Я ЛЮБЛЮ,OVg0V #
314,MIIM DESIGN PRESENTS BOM Boom 3D LETTERING with 3 color alternatives,MIIM DESIGN PRESENTS 3DLETTERING with 3coloraltermatives
315,знан ИСТИН,
316,ВИДЕОНАБЛЮДЕНИЕ МОНТАЖ ПРОЕКТИРОВАНИЕ 8 961 536-04-12,MOHTA>K MPOEKTNPOBAHNE 8961536-04-12
317,GalantClub,galantCene
318,спасибо за больного сына,LACMS C国 EAHCY 思 NOPOKHbIN NHCNEKTOP
319,Wash me,Wush me
320,REKLAMA NAPISY NAKLEJKI,REKLAMA NAPISY NAKLEJKI
321,Никаких больше вечеринок,Hurarux bOnbule beuepuHor
322,Машина  куплена в комплекте с правами,MaWNHa KYnAeHaB KOMnAeKTeC npaBaMK
323,20,20
324,БИЗНЕС,5M3HEG
325,Ваша надпись,Baua Hadnucb
326,К45,K45
327,НЕКОУЗСКИЙ,HeKOY3CKHN Pecne
328,"КЛУБ РЕНО сервисы, помощь, общение, встречи","KY6 PEHO CepBCbl,nOMOWb,o6weHNe,BCTpe4"
329,PLAY DALNOBOY,PLAY DALNOSOY
330,Ваша надпись,Hadrucb BauBa
331,nokstv.ru, nokstv.ru
332,СЕГОДНЯ МОЖНО,"CEFOL,HA MODKCHO "
333,Dicas,DicasTools 0.1kg 131mm
334,BAD GIRL 230573 POLICE DEPT.,7 BAD GIRL 3 230573 2 POLICEDEPT.
335,1,
336,УПАКУЕМ ВСЁ!,YNAKYEM BCE!
337,Stay wild,Stay. wild
338,STAR WARS,WTAR 
339,УСАДЬБА СЕМЬИ ТИТОВЫХ,YCAAb5ACEMbN TUTOBbIX nocTpoeHaB2014roAy ycePAMAM  CTaPaHAH TuTona Banepa HxKonaeBga M THToBa Cepren BanepbeBya. YcTaHonneHa08.09.2021r
340,KRONOS,KRONOS
341,"Издательство ""Экзамен""",W3oamenbcmeo 《3K3AMEH》
342,АДВОКАТ ЛИТВИНОВ ТА ПАРТНЕРИ,AIBOKAT JIHTBHHOB TA TIAPTHEPH
343,СР ОБЩЕОБР ШКО А,MAEOESOLAO CPETHRR OBIILEOSPA3ORATE.IMHAS KOIAMS
344,фисный центр СПЕКТР,CHbLeHTP CnEKTP 
345,96 проспект МЕТАЛЛИСТОВ,96 PocuIeKT METAJUJINCTOB
346,YACHTING Туристическая компания МДМ-Яхтин,YACHTING TypMCTMyeCKag KOMnaHH MnM-AXTHH
347,BEER DA,BEER&DA
348,НОТАРIУС,MIHICTEPCTBOKOCTMUO HOTAPIyC JEMIEHORA 6.re:(09）44-8.x .2
349,Детская а искусств,IeTcKaa Ia HckyccTB J
350,ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ,ASOPOCA BAAIHSTLCSODMOCHmA COCADCrBeHHOekLLHHDeHDeSLeHHe aasooxpaaeumaTopoiaMockab HHOPMAIHOHHOAHAHECKHAEHTT IEAPTAMEHTA3IPABOOXPAHEHHS TOPOLAMIOCRBhI-
351,ОСТОРОЖНО! Во дворе злая собака,OCTOPOKHO! Bo ABOpe  co6aka
352,ВЫВЕСКА,BHIBECKA
353,ФЕДЕРАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ВСЕРОССИЙСКИЙ ИНСТИТУТ ГЕНЕТИЧЕСКИХ РЕСУРСОВ РАСТЕНИЙ м и Н. И. ВАВИЛОВА,MMHNCTEPCTBOHAYKMMBBICWETOO6PA3OBAHNS POCCHACKOMEIEPALIAN EAEPABHOETOCVAAPCTBEHHOEEIOKETHOE HAVUHOEYUPEKJEHME EAEPAbHbINCCNEAOBATENbCK LEHTPBCEPOCCMMCKMNWHCTATYT FEHETMHECKMXPECYPCOBPACTEHMN MMEHMH..BABMNOBA TIELVAVBLOALURLSSANSTTUTEOFPLANTGNETICRSOURCES PEDERALREREARCHCVTER
354,о аша ПО ДА!,BidHawa nO6EAA!
355,ИЗГ Б,W3r 6
356,гоэлро 2: пуск 2 блока еро-западной тэц,TaU TOSMPO2 IYCKZBAOKA
357,уход за собой,yxDA Mz 3co6o
358,Э О УЛИЦА A LIVIN R T 22,
359,красная книга санкт-петербурга 2018,KPACHAHKHMTA CAHKT-HETEPBYPTA 2018 ?
360,НЕТ ВОЙНЕ 2.7,BOIHE KET 2.7
361,RPK Group ТИПОГРАФИЯ,Group RPK TnOrPAA
362,1 2,1x2
363,Ф,H
364,Восстания,
365,РОССИЯ,
366,СИТИ БЛАНК,CHTH BnAHK PROSEISONA
367,City,
368,СТАРТ,000318 CTAPT
369,Это наша ПОБЕДА!,ROHEARI
370,Coco Bongo,Bongo Coco
371,crpp.ru,seprepeyepeeineeo Bwroacbecna crpp.ru Canerwdvss
