index,answer,prediction
53,СИЛА ЦВЕТА' МОСКВА,СИЛА ЦВЕТА MOCKBA
54,бомбезная кепка,KЕПКА БОМБЕЗНАЯ
55,росгвардия,РOСГВАРДИЯ
56,ПРОМ ПЕЧАТЬ,ПРОМ ЭПЕЧАТЬ
57,СВОЙ ДИЗАЙН,CBOЙ ДИЗАЙН
58,ВЫШЕ НОС КУСОК МЯСА!,MACA!
59,TopCAR,TopCar
60,Shut up and FISH!,SHUTUR FASH
61,logo,logo
62,SENDAYS BEST,SONDAYP  BEST
63,GRL PWR,GPLW PWR
64,go,ki Jngo
65,"Mr. 
 Cards",Mr. Cards
66,T-Rex is BEST,T-Rex i6 BEST!
67,Stale,YRIATION Dba
68,SHERIFF,SHERIFF
69,I WAS BORN TO FLY,
70,ANKER,ANKER
71,ХочуПива,ЗoryTuвa
72,CRUSH ON YOU,CRUSH ON YOU
73,REDNECK RAMPAGE,HEDNECK RAMPAGE
74,ALENCIAGA,MALENCIAGA
75,"YORK 
 08",ON YORUK 08
76,СБУ,С6У
77,031НШЕ,3IHWE
78,"OF CITY 
 STON",STON
79,RAP,RAP
80,YOUTH,YOUTH
81,PUmA,PWMA
82,ASICS TIGER,
83,adidas,
84,NIKE,
85,Vans,  VANS
86,day,today
87,RAINE,KRAINE
88,ТРЕЗВЫЙ И БЕЗ ДЕНЕГ,ТРЕЗВЫЙ И 6E3 ДЕНЕГ
89,ЛУКОЙЛ,UK ЛУКОЙЛ
90,DIMA 29,DIMA 29
91,LET'S PLAY,AYY
92,KIDS,KIDS IF
93,"tephen Ki Book Signing day, November 11th at 6","tephen Кт STES Book Signing day, November 11th at 6"
94,FBI,FBI
95,simple trin,
96,TAJIMA,TAJIMA  ти
97,Шарден дом вкуса, O Шарден  ДОМВКУСА
98,Мой .рф,Мой ME
99,Jack Wolfskin,Jack Wolfskin
100,ДИЗАЙН ВЫВЕСКИ,ДИЗАЙН ВЫВЕСКИ
101,PANDORA,PANDORA
102,ПРОДУК,ПРОДУК
103,"PIZZERSA 
 Z 
 HOLLE",PZZERTA HOLLE
104,ОЛИМП,ОЛИМП
105,САМОВАРЪ,САМОВАРЬ
106,GRAFF G MEDIA,GRAFF MEDIA
107,SHOP,SHOP
108,PIZZA,PIZZA VS
109,M,M
110,этисэль САЛОН КРАСОТЫ этисэль САЛОН КРАСОТЫ этисэль,ЭМИСЭЛСАЛОН КРАСОТЫ ЭМИСЭМ САЛОН КРАСОТЫЭМИСЭЛ
111,Перспектива ,CENTURYZ Перспектива
112,PARK,PARK 
113,ЭЛЕКТРО ПРОВОДКА,ЭЛЕКТРО ПРОВОДКА
114,HYUNDAI,HYUNDAI
115,Красное Бел,KpacHoe Бело
116,ФизКульт СЕТЬ ФИТНЕС КЛУБОВ,ФизКульт СЕТЬФИТНЕС КЛУБОВ
117,CH CH,CHI-CHI
118,MAMA DOMA товары для дома,DOMA MAMA товоры для домо
119,САЛОН КРАСОТЫ,САЛОН KPACOTЫ
120,Абсолют Банк,Абсолют Банк
121,"ГОСУДАРСТВЕННЫЙ 
 ДРАМАТИЧЕСКИЙ 
 ТЕАТР",ГОСУДАРСТВЕННЫЙ ДРАМАТИЧЕСКИЙ TEATP
122,OPEN,OPEN
123,"всЕзнайка 
 Дитяча студiя розвитку",
124,ЧАСОВАЯ МАСТЕРСКАЯ,ЧАСОВАЯ МАСТЕРСКAA Mpl Ral Crpl Ban Ctho
125,КНИГИ,HHNLS NGS24RU
126,ApiJo,ApiJo
127,ОБУВЬ,ОБУВЬ
128,Банк Клиентский,Банк Клиентский
129,-А,
130,PASCUCCI,PASCUCCI
131,ВЪЕЗД НЕ ЗАНИМАТЬ ШТРАФ 2 КОЛЕСА В ЧАС,ВЪЕЗД HE ЗАНИМАТЬ ШТРАФ 2 КОЛЕСА B ЧАС
132,Дореволюционные вывески в Москве,Дореволюционные вывески в Москве
133,"VANIL' 
 кофе булочка",VANIL кофе&булочка
134,ЕЙ ГНИ РМАРК,
135,ВЫВЕСКА ВЫВЕСКА,0 015= ВЫВЕСКА ВЫВЕСКА 160  li taw
136,АПТЕКА,АПТЕКА
137,ESTHETIC CENTER MEAMO,MEAMO
138,-1 URAL FERRUM FI HT LU,FERRUM M-1URAL FIGHTCLUB
139,красный куб,KPACHЫЙ KY6
140,БУКВЫ,БУКВЫ BAHHEP МАРУИM ВИТРИННАЯ ГРАФИКА
141,CHURCHILL,
142,N,N
143,ЛЮКС ВОДА,люкс вода
144,охОта рыбалка,oxOra
145,"сеНоВал 
 трактир",CEHO ds трактир
146,Трюфель,Мрофель 90
147,WILDBERRIES,WILDBERRIES
148,G,C
149,ЗОЛОТАЯ СТРЕКОЗА,ЗОЛОТАЯ СТРЕКОЗА
150,МЕСТО ДЛЯ ВАШЕГО БРЕНДА,МЕСТОДЛЯВАШЕГО БPEHA
151,Park Claros,Claros
152,"ИП Белик 
 РЕЖИМ РАБО 
 с 9:00",
153,WILDBERRIES, WILDBERRIES HTOA
154,Восточный ветер ТОРГОВЫЙ ЦЕНТР,"ОСТОЧНЫЙ ВЕТЕР ТОРГОВЫЙ ЦЕНТР HABИГATOР РАЗРАБОТКА, ИЗГОТОВЛЕНИЕ И МОНТАЖ РЕКЛАМНЫХ КОНСТРУКЦИЙ www.eign365.ru СТИПЬ"
155,МАГНИТ КОСМЕТИК,МАГНИТ КОСМЕТИК
156,ruine,nine
157,Хинкальная,:Хинкальная
158,"DeSheli 
 Beauty center",DSheli Beauty center Dsheli
159,М.видео,Mbuдеo
160,БАНК ЮГРА,5AHK ЮГПА ЮOГPA
161,The GENIUS,CANDN KNOT THE GENIUS САЛОНАКУСОТЫ CON BEALTY EBc t www.gsiehygsin. 7(49576488 Me
162,TRUSSARDI,TRUSSARDI Trussardi Jeans 10:00-22:00 SALE A -50%
163,ОБУВЬ,
164,долг Верни чорт,I gonr Bepny Y0PT
165,повестки в унитаз!,новестки ВУНИТАЗ!
166,"СПАСИБО, ВАЛЕРИЙ ГАРКАЛИН",СПАСИБО ВАЛЕРИЙ ГАРКАЛИН
167,19-037-84-82 МИХАИЛ,19-037-84-82 МИХАИЛ ECTPAUEADTO NoT
168,baby it's cold outside,baby HO cold Side
169,КУРСК - СТОЛИЦА СО КРАЯ,
170,СМЕРТЬ,СМЕРТЬ
171,МАША,59RU
172,baby its Cold qutSide,baky  d e
173,KING OF THE STREET,KING OFaTHe STREET
174,граждане! ПРИ АРТОБСТРЕЛЕ эта сторона улицы наиболее ОПАСНА,ГРАКААНЕ ПРИ АРТОБСТРЕЛЕ ЭТА СТРОНА ЗАМЦЫ HANSONEE DDACHA
175,МАТЕЛЕН НА ДОРОГЕ,OTB
176,"МЫ 
 СЛЕДИМ",АeMM VL.RU
177,spring96.org,sping96.org
178,63 школа ул. широт ая,63 ШКОЛА LAOCT kva5.ru
179,средняя общеобразовательная школа №,ОГО-БОСТОЧОЕ ОКРУЖНОЕ УПРАЛЛЕНИК ОБРАВА ДЕАРТАМЕНТ ОБРАЗОВАНИЯ ГОРДА МОСЫ МРАЗОВАТЕЛОЕ УЧРКДЕНИК ГОРОДА ГОСУДАРТНЕЖЕТЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ С. ЭТНОКУДЬТУРНЫМ ТАТАРЕКИМ ШНОJА № 1188 КОМПОЛЕИТОМ ОБРАЗОВАНИЛ
180,бизнес-центр,БИЗНЕС-ЦЕНТЕ
181,"АМЕНТ ОБРАЗОВАНИЯ ГОРОДА 
 ВОСТОЧНОЕ ОКРУЖНОЕ УПРАВ 
 ВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ У",ВИЗИКОМ- РЕКЛАМНО-ПРОИЗВОДСТВЕННАЯ К www.vizikom-ar AMEHT ОБРАЗОВАНИЯ ФОРОДА ВОСТОЧНОЕ N ОКРУЖНОЕ УПРАВЛ BEHHOE ОБРАЗОВАТЕЛЬНОЕУЧ
182,досугово-спортивный центр гармония,"hpCnp-1e ""ДОСУГОвО-СПоРтИвНЫЙ ЦЕНТР""ТАРМОНИЯ"""
183,"We prepare for 
 Cambridge 
 English QualificationsTM","Weprepare for Cambridge Engish Qualifications"""
184,Средняя школа 23,Средняя школа № 23.
185,"СЕЧЕНОВСКИЙ 
 УНИВЕРСИТЕТ 
 НАУК О ЖИЗНИ",СЕЧЕНОВСКИЙ УНИВЕРСИТЕТ НАУКОЖИЗНИ
186,"СРЕДНЯЯ 
 ОБЩЕОБРАЗОВАТЕЛЬНАЯ 
 ШКОЛА №143",ШРАВИТЕЛЬСТВОСАНКТ-ЕТЕРБУРТА KОМИТЕТДООКРАЗОВАННО СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШKOJA №143 СУТЛУЕЛЕННЫМ ИЗУЧЕНЕМАНГЛИЙСКОГОЯЗЫКА КРАСНОПВАРДЕЙСКОГОРАЙОНАСАНКТ-ПЕТЕРЕУНА ИПЬСАНКТ-НЕТЕРЕУРТ.ШИСКАРВСКИЙПКОКШЕКТ.ДВМТЕРАА РЕЖИМРАБОТЫ:ПОНЕДЕЛЬНИК-ПЯТИИАСКА0ДО20АВ ВХОЗНЫЕДИИЬ ВОСКРЕСЕНЫЕИЗРАЗНРЧИЫЕЗНИ СУЕЕОТАСК0ВДО1К00
187,"Украинская 
 Торговая Гильдия",CnC ВИРОБИ НА МЕТДЛ В КОЛЬОРИ Украинская Торговая Гильдия
188,"СПОРТИВНАЯ ШКОЛА 
 ЯМАЛ",«СИОРТИВНАЯ МЕОА «ЯМАЛ»
189,ХОРОВАЯ ШКОЛА Алые паруса ОРГАННЫЙ ЗАЛ,ОРГАННЫЙЗА
190,СРЕДНЯЯ ШКОЛА 155,СРЕДНЯЯ ШКОЛА 155
191,"Здравствуй, ШКОЛА!",3ypatemty ШКОЛА
192,мебели,R2 РАМЕБЕТИ
193,"ЦЕНТР 
 ПСИХОЛОГО-ПЕДАГОГИЧЕСКОЙ, 
 МЕДИЦИНСКОЙ И СОЦИАЛЬНОЙ 
 ПОМОЩИ",ПСИХОЛОГО-ПЕДАГОГИЧЕСКОЙ ЦEHTP
194,МФЮА,МФЮА
195,Управление Книги Видео,Управление Книги Бидео
196,Street Shop,Street Shop
197,"СТАФФ 
 КИЕВСКИЙ КЛУБ 
 КУДО", A CTA КИЕВЕКИЙ КАУБ KYДO
198,точка роста,ТОЧКА POCTA
199,ЦЕНТР,ПEHTP ОБСЛУТОЕУВАННЯ КЛИЕНТВ
200,НАРУЖНАЯ СОГЛАСОВАНО РЕКЛАМА,СОГЛАСОВАНО
201,Территория красоты,Территория  красоты 
202,СКЛАД ОФИС ДЕМО-ЗЕЛ,CKJAД ОФИС ДЕМО-ЗАЛ
203,ЛИГА,
204,ВЫЗОВ  ПЕРСОНАЛА,ВЫЗОВ ПЕРСОНАЛА HHE 422476071
205,Мил,Mu
206,Абсолют Банк,Абсолютбанк
207,ОДЕЖДА,ОДЕЖΔА UN
208,АПТЕКА,ΑΠΤΕКΑ
209,KUCHEND HOME,KÜCHENLAND HOME
210,пальчики маникюр-педикюр,нальчики маникюр-педик-юр
211,город Солнца,nopog AHua
212,ОЛЛЕГИЯ АДКОВАТОВ г. МОСКВЫ «ПРИЗЫВНИ,ОЛЛЕТИЯ ДВОКАУ .MOCK ПРИЗЫВНИЕ
213,ТЕАТР Аквариум,
214,Ц,
215,ТВОЙ ДОКТОР,3ДЕСЬ CMOMO BAH
216,МИНИМАРКЕТ,МИНИМАРКЕТ
217,ХЛЫНОВ,ХЛЫНОВ
218,КЛАССНЫЙ У ОЛОК,КЛАССНЫЙ УГОЛОК
219,АЗПРОМ Е,А3ПРО A30PACPE BE 
220,переулок якорный 10,ПЕРЕУЛОК ЯКОРНЫЙ 10
221,ПРЕЧИСТЕНКА улица,ПРЕЧИСТЕНКА Уn ИЦА
222,RUE DE POITOU,RUE POITOU RHE VELLE DO TENPLE
223,11,t Rancach crp Нсрыур.
224,ABBEY ROAD NW8,IE4DV ABBEY ROAD NWS
225,улица МОСКОВСКАЯ 5,pedeed УЛИЦА МОСКОВСКАЯ 5
226,улица К.МАРКСА 26,УНИЦА K. MAPKCA 26
227,улица Полевая 35,Полевая ynuua 35
228,11 улица ГРИБОЕДОВА,11 Б
229,переулокъ,"РИВОКОЛЬННЫ ПЕРЕУЛОКЪ TAPAHAHOBCHA У. улиц,к которым прилагались меньшегоразмера стрелочные указатели Пераыемосксаскиемассовоиготовлеяные таблички снаканеми и цифры имели синий фои и беле символ и были покрыты глатурыю. ныетабличкое и номереое знаки домов Краевед Юрий Ефремов застал (в 1920-е годы) а Москве дореволкциои и ера. Bуароеmаб,еонmенаосy Ma yaxps-мamusyиneco cmapoopфoaфй,сse цеету оетло чаалисбелме буы анен. Источник: Ефремов. Ю.Московских улицимена. М. Вече, 200б."
230,57 СОВЕТСКАЯ улица,57 СОВЕТСКАЯ ynуца
231,28а улица ЛИЛИЙ,28a ynица  И Л π
232,улица КООПЕРАТИВНАЯ 15,УЛУЦА КООПЕРАТИВНАЯ 15
233,УЛ. ЩЕПК ДОМ 29 ,URERU  * DОМ 29 CENAVNSOS MM 
234,КАК МЫ РАБОТАЕМ,8 КАК МЫ РАБОТАЕМ ВЫ ОСТАВЛRЕТE МЫ СВРЗЫВАЕВСЯ DOCТАBFREN ВW ОПAЧИВАЕТЕ 3AREKY СВАВИ JAKA3 ПРИ ПОТУЧЕНИИ
235,18,SC 8
236,RICE,RICE
237,нут,HYT
238,DONATiON,DONATION
239,НУТ,HYT
240,RICE,RICE
241,CAR,CAR
242,Firefly,Cirfly jinzhengglass.en.alibaba.com
243,DONATION,DONATION
244,PEACE  TRUE LOVE,PEACE TRU: LOVE 
245,Home,Home beindfude Tumorroo
246,ДЛЯ ХОРОШЕГО НЕФТЯННИКА, ΔΛЯ ХоРоШего КЕФТЯННИКА
247,PASTA,PAST
248,ДЛЯ / ЛУЧШЕГО / ДИРЕКТОРА,ΔΛЯ ΛΥΨШΕΓΟ ДИРЕКТОРА
249,Raspberry, Raspberry
250,TRAVEL,TRAVEL
251,NATRII HYDROCARBON,BKa NATRII WCT И КОЛЛЕКЦИОНКРОВАНИЕ www.dvaveka.tu
252,FOOD DONATION,FOOD DONATION
253,ACAT BEKKY,SEKRY
254,CanStockPhoto.com,© CanStockPhoto.com
255,банк россии 10 рублей 2022,POCCNN BAHK PYBJEЙ 2 2 2 0
256,НотарiуС,HomapiyC
257,100 EURO,EURO 100 EURO 200 500
258,DREA S,
259,СЕЛЬД,  )
260,ЧЕЛОВЕК ТРУДА,DA
261,"В баньку заходи, если чё","B БАHЬКY заходн, 4ё ECΛH"
262,2,
263,OF NATURE,LOVE NATURE OF
264,РОССИЮ!,Россию!
265,На отопление,Ha отопленце 
266,NK OF RUSSIA,
267,не жалко добавь не хватает возьми,НЕЖАЛКО ДОБАРЬ MEKBATAET ВОЗЬМИ
268,Что за надпись ПТТ на банкоматах в Турции? Это банк?,"Что за надпись ""ПТТ"" на бакоматах в Турции? Это банк? TRAVELASKRU"
269,Yeb ,yotibdi
270,СБЕР Для жизни,СБЕР Для жизни
271,00 EU,1O0EU
272,"Эй, бизнесмены ! К вам опять из банка приходили","Эй, бизнесмены! К вам опять из банка приходили"
273,ЧТО НИБУДЬ ПОПИТЬ СО ВКУСОМ ЛИМОНА,ЧТО НИБУДЬ ПОПИТЬ СO ВКУСОМ JМОНА
274,MasterCard VISA,VISA Mastertav
275,CRISIS,CRISIS
276,САНКТ ПЕТЕРБУРГ ПЕТР I ПРЕОБРАЗОВАТЕЛЬ,
277,Ces e emps des cerises,"Cestte temps des cerises  0 0m1 voG voG voG py 13 p3  w w 2 voG voC vo "" 1 m p  ww 222 СфавкГбдрчЁДчГад "
278,Сеченовский Университет,"СОКСКИЙУНИВЕРСИТЕТ СТИЛЬ HABИГATOP РАЗРАБОТКА, ИЗГОТОВЛЕНИЕ ИМОНТАЖ РЕКЛАМНЫХ КОНСТРУКЦИЙ www.sign365.ru"
279,НАУКОЖИЗ,"HAYKOXIC HABИГATOP СТИЛЬ РАЗРАБОТКА, ИЗГОТОВЛЕНИЕ ИМОНТАЖ РЕКЛАМНЫХКОНСТРУКЦИЙ www.sign365.ru"
280,московский педагогический государственный университет,БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ ВЫСШЕГО ОБРАЗОВАНИЯ «МОСКОВСКИЙ ПЕДАГОГИЧЕСКИЙ ГОСУДАРСТВЕННЫЙ YHИВEPСИTEТ
281,оптика,ОПТИКА
282,лужский государственный университет,
283,БОМБИЧЕСКАЯ ШАУРМА,БОМБИЧЕСКАЯ ШАУРМА
284,СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ АЭРОКОСМИЧЕСКИЙ УНИВЕРСИТЕТ имени академика М.Ф. Решетнёва,ЙГОСУДАРСТВЕННЫЙ SIBIRSIЙ УНИВЕРСИТЕТ АЭРОКОСМИЧЕСКИЙ М.Ф. Решетнёва имени академика
285,ЕВРОПЕЙСКИЙ УНИВЕРСИТЕТ ГОСТИНАЯ ПРОФЕССОРСКИЙ КЛУБ, ЕВРОПЕЙСКИЙ УНИВЕРСИТЕТ ФОСТHАЯ ПРОФЕССОРСКИЙ КЛУБ
286,кристалл ювелирный магазин,КPИCTAЛA ПИРНЫЙ МАГАЗИН
287,брэнд медиа,6Р3HД МЕДИА
288,аптека,VEM ECA АПТЕКА F
289,АПТЕКА,ΑПΤΕКΑ
290,"Акционерное общество Клинический госпиталь ""НейроВита"" ",Клииический госпиталь «Нейровита»
291,Шаурма,Шaypмa 5
292,УНИВЕРСИТЕТ,УНИЗЕРСМТЕТ МТМО
293,cfmoto,C-mOT СаПОНМОТоТехНИКИ
294,государственный университет высшая школа экономики,ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ВЫСШАЯ ШКОЛА ЭКОНОМИКИ WWW:TAB.RU AMEnCKTET
295,Жилфонд,«Жилфонд»
296,ОТЧЕТ о деятельности Муниципальной библиотечной,одеятепьности ОТЧЕТ Муниципальной библиотечной систеиы города Тиери 3a 2016 ron
297,ЛАВКА,
298,сележ электро,СЕЛЕЖ-ЭЛЕКТРО
299,материалы 67-й универсальной научно- технической конференции студентов и молодых учёных,МАТЕРИАЛЫ 67-Й УНИМРСИТЕТСКОЙ ЯАУЧИО СТУДЕНТОВИМООДЫХУЧЕНЫХ ТЕХИЧЕСКОЙКОНФЕЛЕНЦИИ
300,юность,ЮНОСТЬ
301,RISE LOUTEK,RISE LOUTEK
302,О,0
303,алерея,ВЫВЕСКА ВЫВЕСКА CKA ТАЛЕРЕЯ S5D
304,император ба,ИМПЕРАТО
305,КОНГРЕСС, KOHГPECC Ииформавентый бюллетень местогосамоуравленя Bposeepe
306,R4S,R4S
307,ЦЕНТР ВРАЧЕБНОЙ КОСМЕТОЛОГИИ,
308,Сергей Атремьевич Айвазян,Mecsoackeeyuepeurets 3acyйpoфp деорфи-ат aaeK1AR ApMi nay Сергей Артемьевич Айвазян Соетаарыруктефоры 01m o MI3MEYMEB.3wom
309,HOURS O OPERATI MO  8am-6pm S - 5p  su  ,OPERATIC HOURS QF Mop S ТМrpафика Sune граф
310,P UM HANDMADE ODUCT COFFEE MADE SA,COFFEE
311,Qudos hair design,Hios desian hair
312,Ваш Текст,БашТекст
313,Я ЛЮБЛЮ,OV90VB
314,MIIM DESIGN PRESENTS BOM Boom 3D LETTERING with 3 color alternatives,MIIM DESIGN PRESENTS 3DLETTERING wIth 3 color alternatiVes
315,знан ИСТИН,
316,ВИДЕОНАБЛЮДЕНИЕ МОНТАЖ ПРОЕКТИРОВАНИЕ 8 961 536-04-12,МОHТАЖ ПРОЕКТИРОВАНИЕ 8961536-04-12
317,GalantClub,GalantClub
318,спасибо за больного сына,ПАСИБ C EAHO P ДОРОЖНЫЙ MHCПEKTOP
319,Wash me,Wush me
320,REKLAMA NAPISY NAKLEJKI,REKLAMA NAPISY NAKLEJKI
321,Никаких больше вечеринок,Hukakux больше бечеринок
322,Машина  куплена в комплекте с правами,Машина куплена в комплекте с правами
323,20,20
324,БИЗНЕС,БИЗНЕС
325,Ваша надпись,Ваша надпись
326,К45,K45
327,НЕКОУЗСКИЙ,некоузский Pecne
328,"КЛУБ РЕНО сервисы, помощь, общение, встречи","КЛУБРЕНО сервисы, помощь, общение, встречи"
329,PLAY DALNOBOY,PLAY DALNOBOY
330,Ваша надпись,надuсь Bawa
331,nokstv.ru, nokstv.ru
332,СЕГОДНЯ МОЖНО,CЕГОДНЯ МОЖНО 
333,Dicas,Dicas Tools 0.1kg 131mm
334,BAD GIRL 230573 POLICE DEPT.,7 BAD GIRL 3 230573 2 POLICE DEPT.
335,1,
336,УПАКУЕМ ВСЁ!,УПАКУЕМ BCË!
337,Stay wild,Stay wild
338,STAR WARS,WTARR 
339,УСАДЬБА СЕМЬИ ТИТОВЫХ,"УСАДЬБА СЕМЬИ ТИТОВЫХ Построена в 2014 году усердизми и старанияни Титова Валерия Николаевича и Титова Сергея Валерьевича. Установлена 08.09,2021г."
340,KRONOS,KRONOS
341,"Издательство ""Экзамен""",Издательство «ЭКЗАМЕН»
342,АДВОКАТ ЛИТВИНОВ ТА ПАРТНЕРИ,АДВОКАТ ЛИТВИНОВ ТАПАРТНЕРИ
343,СР ОБЩЕОБР ШКО А,МУНИАMЕ ОД СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА5
344,фисный центр СПЕКТР,офисный центр СПЕКТР 
345,96 проспект МЕТАЛЛИСТОВ,96 проспект МЕТАЛЛИСТОВ
346,YACHTING Туристическая компания МДМ-Яхтин,YACHTING Туристическая компания «МДМ-ЯХТИНГ»
347,BEER DA,BEER&DA
348,НОТАРIУС,МЕНИСТЕРСТВОКСТИЦЙУР HOTAPIYC ДЕМЧЕНЮО ОЛЫХ ИВНИН M06.re1:(096)44-65.2m:282 M.K21
349,Детская а искусств,Детская та искусств Л
