index,answer,prediction
55,"икона
ожог",икона ожог 
56,отвыкать,отвыкать  
57,"всплывать    )
монарх Бобров
похоронка Басенко",) всплывать Бобров монарх похоронка Басеnко
58,кок Мирошник,u  KOK Мирошник
59,дискуссия,0 дискусоня
60,кабачок,RUA MM ME2  кабачок * * *
61,"радиационный
кувыркнуться
кожанка",  радиационный кувыркнуться кожанка
62,"кубовой
Пчелкина
Продан",SWEDE кубовой Пчeлкина * 88  * 2 8 Продан
63,"беспочвенный
убаюкать Янович
маслице apple",беспочвенный убаюкать Янович маслице apple
64,переноска,переноска
65,"возрождаться
Филистович
мускул",возрождаться Филистович мУСКУЛ
66,"Рагель Гладкая
индивидуальность
вылазка Ширяев",Рагель Гладкая индивидуальность вылазка Ширяев
67,Роллан,Роллан
68,"река
неизменно",peka HEи3MEHHO 
69,Маркс,©  Mapkc X……
70,"долго;
slip",долго; slip
71,чугунный,4угунный
72,камергер,
73,"Гойя
53593
трижды",Гойя 53593 ТРИЖДЫ 
74,клинопись,КЛИНОПИСЬ C
75,шмайссер,шмайсeер
76,усик,усик  
77,"Дима вислоухий
заманчиво шина
Луиза     (
Жидков ацетон",Дима вислоухий заманчиво шуна Лyiзa  *удковацетон
78,"благостно
замирать)
лизинг",благостно замирать) ЛИЗИНГ
79,"трудящийся(
лакировать",трудящийся( лакировать 
80,"оргпреступность
мониторинговый
Шаймухаметов.
дремучий",оргпреступность мониторинговый Шаймухаметов. дремучий
81,"Петухов
Саган
минога
Приймак",Петухов Сagan минога Приймак
82,"ступа
жиреть
картон",cтyna *уреть картон
83,шпат,шпат
84,косица, КОСИЦА
85,"Травкина
департамент",Травкина департамент
86,старомодный,старомодный
87,"косо
горком",KOCO рорком
88,нагрузить,НАГРУЗИТЬ 
89,отыграться,ОТЫГРАТЬСЯ
90,Коржаков полуслепой,Коржаков полуслепой
91,дань(,дань( hF
92,"сравнить
Гендель",СРАВНИТЬ ГЕНД ЦЕЛЬ
93,Татарстан,
94,"Шмелева
Кислюк",Шмелева Кислюк 
95,Уханова,yxaHоBa 7ER8 3572 82 :12 EBZEN DREL  3E INSLY HGF IRE 182E ESZEH 22 1V 2872 182  IGIY
96,"колок
жгут",КОЛОК ЖГYТ
97,"садоводческий
подвезти",садоводческий подвезти
98,трек,Трек
99,"похолодеть
МИД опилки
факельный
маринкин",XTIODOAINING похолодеть L30 МИД онилки факельный маринкин Aua
100,санки, сaHKи
101,выхлоп,ВЫХЛОП 0
102,"шарик
пирс",шарик нупc NNA
103,"раскапывать
роиться Каледа",раскапывать роиться Каледа 3RAKES 
104,"эмбрион
13910
Кускова
ежли
перо",эмбрион 13910 Kусkoва ежли 2 nepo - M :2 2 c2
105,лгать,нгать 
106,минус,24810
107,"9791230143
загасить дурка:",9791230143 ЗАГАСИТЬ ДУРКА:
108,Климент, Климент
109,"ваучер
наоборот",110 7os  2 4    ваучер наоборот
110,"осторожненько
переплюнуть
улыбнуться
Хвалько",осторожненько переплюнуть улыбнуться Хвалько
111,Кондратеня Кабиров,Кондратеня Кабиров
112,"одышка !
полвека", одышка полвека
113,Долматова,Долматова 
114,чека:,Do чека:
115,"отрог
50934",отрог 50934
116,"Левин
апология",Leвin атология  Mezign
117,"мегафон
шаманка",мегафон шаманка
118,"угловато
29257
берег,","угловато 29257 6eper,"
119,"9747686525
Юрчук
Давидчик
старчество
смывка",9747686525 ЮOП4YК Давидчик CTAF PЧЕСT BO СМЫВКА
120,21211,21211 1 N :25 1933
121,"встряхивать;
Фридрих  ,
энтеровирус",ВСТРЯХИВАТЬ
122,Сытин,Сытин
123,"прославление!
упавший
отпугнуть",прославление! упавший отпугнуть 
124,анемия манка,анемия мaHкa ©
125,"Матюк
сумка
пыльца
мсье ;",Матьюк cymka пыльца Мсье 
126,"9398140376
боязно",9398140376 боязно 
127,Шагин.,S.U20 DEUB1 :  Шагин
128,чистый слива изменник,чистый слива изменник 0
129,"одноименный
регата   )",одноименный ( pegata
130,9799905051, 9799905051
131,"арап?
учет",apап? учет 
132,"смерш
9536985036
ожог схождение
Савинова волочь",смерш 9536985036 ОЖОГ схождение Савинова ВОЛОЧЬ
133,расстилать,расстил
134,"жидкий
лакать",*идкий лакать
135,Бельгия,Бельгия EVAK 20000
136,"сахарин
страсть
арбалет",*  or  сахарин страсть арбалет
137,Подольский,NASA Подольский   MARS 
138,святцы,святцы C 2 
139,"физик
Нечай
53869", ФИЗИК НЕЧАЙ 53869
140,"дубасить
Смолик",дубасить Смолик
141,Инга, ИHra
142,Алай,АЛАЙ
143,80163(,80163(  
144,"77555 Велько
смиренный 66575",77555 Белько сииргнный 66575 EREED
145,"галдеж осушить(
спагетти   (",галдеж осушить( спагетти у 
146,граб,2pa6
147,очаг,очаг
148,"Янчук.
жаль",
149,амба,am6a  
150,"горло
Пузевич
батюшка
понижающий
пролепетать!",рорло Пузевич батюшка понижающий пролепетать! 
151,Скорина,ckopuHa
152,Греф,ГРЕФ 3 
153,важничать, 
154,разбазарить прялка,разбазарить прялка
155,Салтыков,алт TbKOB
156,"шейный
50487
81594?",ШЕЙНЫЙ 50487 81594?
157,Моцарт,
158,клей!,КЛЕЙ!
159,"морить
слепой
сшибить
чернослив",морить слепой сшибить чернослив CODE
160,Чернушевич,Чернушевич 
161,облупить,облу numb
162,вибрион,вибрион
163,Клара,КЛАРА 
164,"замещение
помышлять
готовно смута",ЗАМЕЩЕНИЕ ПОМЫШЛЯТЬ ФОТОВНО СМYTA 
165,наука,наука
166,"пулковский
хитровато",нУЛКовСкиЙ Хитровато
167,зачин,3aчиH
168,Кент.,
169,"Шатило
цитология",Шатило ЦиТОЛОГИЯ
170,"каретка
старомосковский
осмотрительно
зачитываться.",каретка старомосковский  осмотрительно зачитьваться
171,иудин!,иудин!
172,"Дуся
богато",2 Дуся 6огато
173,троп, CLU rpo STORIES 
174,"Галенко
левит
душистый
Ганевич",Фаленко левит душистый Ганевич
175,Рожина,се  рожина
176,"Козин
Храмов
невидный?",Thereleslayero protective filim - BSPU Ко3иH Xрамов невидный?
177,"дож сельва
догонять выиграть
настенный
свершаться",дож сельва догонять выиграть настенный свершаться 
178,"въезжать
окаймить", въезжать окаймить
179,"вахта
аборт",вахта a6opT
180,Шилов, ШИЛОВ
181,"листинг самооценка;
лизинг плантация",листинг самооценка; ли3иНГ плантация 
182,нулевой, нулевой
183,"питомец event
Влад
гвалт вопросик Быков(
63462 воздвижение
венский       ?",питомец еvепt Бнад гвалт вопросик БыКОВ( 63462 воздвижение BeHCKий
184,"Власик
галстук",Власик галстук
185,"75597
инфа",75597 инfа * 
186,даос,aaoc
187,"Наум стрежень доменный-
досадливый.",Наум стрежень доменный- досадливый.
188,бабий,g бабий 2 (
189,"РСПП
прям
99259", PCTP  2018 нрям 99259
190,спассеровать,спассеровать
191,цыпка,цыпка
192,"Гребенкина 93780 сивуха
шоу-бизнес",0 Фребенкина 93780 сивуха шоу-бизнес
193,резчик, pе3чuк
194,"вмещать;
Федорова
Томас",вмещать; Федорова  Tomac
195,"потешаться
51581 вышина
зажмурить(
66536 чудно",ПОТЕШАТЬСЯ 51581 ВЫШИНА ЗАЖМУРИТЬ( 66536 ЧУДНО
196,"трепанация пересказ
9631168328 бесчестный",треганация нересказ 9631168328 бесчестный 
197,"root,","root,  "
198,"Василюк 97885
непостоянство",Василюк 97885 непостоянство
199,ножик,RSI E B HOЖИK NLINE
200,"трудящийся
аттестат
предстать",трудящийся аттестат предстать
201,Гришкова,
202,"Стасик
Жильцова",Стасик Жильцова
203,"Сапронов
Марченков
энергичный
забойный )
наметиться",Сапронов MapyeHkoB энергичный забойный наметиться
204,домой,ДОМОЙ
205,"огнеупор разгибатель
43245 Лаврухин стиляга
прямиком ужесточать",огнеупор разгибатель 43245 Лаврухин стиляга прямиком ужесточать
206,обегать, обегать
207,утилитарный,MARNINC ZOMBIE REAS 0 утилитарный
208,"завивать
страусовый
обаятельно", завивать страусовый обаятельно
209,77512,77512  
210,Бабаков,
211,"Журов  !
опереться
Симончик",*ypов — опереться Симончик
212,9352767310,
213,сойка,kpfia сойка
214,Филатова,филатова 
215,Саввин,Саввин ②G
216,Сонька-,Сонька-
217,"Феоктистова term
диоптрия бензопила
Ананьева скучноватый
расстаться 9336428168(",L Феоктистова term диоптрия бeн3oпила Ананьева скучноватый 9336428168( расстаться
218,"coat
бзик", coot 63uK
219,"Демкин
51729", ДеМкиН 51729
220,"хорошее
слалом
сгубить
Чуйков",хорошее слалом сгубить Цуйков 1 http://cofound.in/profile Tue
221,"слушок
уборочная
дожать
процедура",слушок уборочная дожать процедура
222,брахман,6paxmaH
223,Алданов,Алданов 
224,"идея гогот
Фоменкова",идея гогот Фоменкова 
225,"опора;
свыше
диета",опора; свыше duema
226,Журкин,Жyркин
227,"равелин
актуально;",равелин актуально; 
228,челядь,неядь
229,"Караулов
Шанчук
купить залежь",Караулов Шанчук купить залежь
230,"штангист студить-
филин Колосовский",Штангист студить- филин Колосовский
231,чаек больше,чаек больше .
232,маржа,маржа
233,"гжель
целый",гжель  целый
234,непредвиденный,непредвиденный
235,9419380237,9419380237
236,"метелка
трейдер:
приход",метелка трейдер: npuxod
237,"Глебов
лахтак
склад!",Глебов лахтак склад!
238,"лейка
зятек",лейка зямек
239,"захромать,",захромать
240,синклит:,CUHKUm:
241,"спа Князев спонтанный
почесываться усомниться обнимать ген
блондин всплеск Горлова ажурный",w спа Князев спонтанный почесываться усомниться обнимать ген длондин вспеск Торлва ажурный
242,"новодел обход Ромашко
Жолудь Гудкова выгода;
9475548212",обход новодел Ромашко Жолудь Фyдкова выгода; 9475548212 4POI8S NOLW
243,"verb
база",verb  база
244,"ликбез
эпоха
дисковый
Чечура
Вареник",ликбез эпоха дИсКОВЫЙ Чечура Вареник
245,finger),finger)
246,"непроверенный
хохотнуть",непроверенный хохотнуть
247,36816,36816
248,успенский,успенский  
249,Рублев,2 2  Pу6neв
250,Юрлов,Юрлоз
251,"Саков
Иудея",СакоB Иудея
252,"lady
членский
подружка
Смолко",lady членский подружка Смолко
253,"натолкнуть
вразброд,
Семченко
служка","натолкнуть вразброд, Семченко служка"
254,"выстудить
Аврамчик -", ВЫСТУДИТЬ АBРАМ4ИК
255,"Конов,", KOHOB
256,"взрослеть
оглашаться
ветровой",взрослеть оглашаться ветровой
257,слега,слега
258,ну-у,HY-y
259,"подвесить
Кучумов
ералаш",ПОДВЕСИТЬ КУЧУМОв ЕПАЛАШ
260,суетливо,суетливо
261,"закат
14234", закат 14234
262,9331007319,9331007319  )
263,"Бугрова
9295968930
Скороходов
Янкевич
значок",Бугрова 9295968930 Скороходов Янкевич значOK
264,свести, cвести
265,"овация вой
расстегнуть
полноватый (",ВОЙ овация расстепнуть ПОЛНОвАТЫЙ
266,Глазырин,Глазырин
267,Кощей МПА,МПА Кощей 
268,"байдара
фляжка
наяву",БАЙДАРА ФЛЯЖКА НАЯВУ
269,"меццо-сопрано
Горнак;
многотомный
воинственно
вскидываться",меццо-сопрано Фопнак; МНОГОТОМНЫЙ воинственно вскидываться
270,"сыночек
проем
доложиться",сыночек проем доложиться
271,ВГИК, БГИК
272,складной!,складной!
273,"кинокомедия
судовой",кинокомедия судовой
274,9734573763,9734573763 THUIE
275,наказанье,наказанье
276,"освятить
Киселева", 1 ОСвAТИТЬ CAUFON Kiseleva
277,"косноязычный
салфетка
запеленать",КОСНОЯЗЫЧНЫЙ салфетка запеленать
278,вобла, еобла 
279,глушь,глушь
280,56293,56293 
281,"джемпер
шапочка",джемпер шапочка
282,"11592
замша
отходы(",11592 ЗАМША отходы(
283,"вакцинный
прожить -
угнетать ;",6 вакцинный прожить угнетать
284,разработчик, pa3p
285,"облететь
помахать южанин",C  4V облететь помахать южанин
286,Каминский,Каминский CLASS F
287,пролонгировать!,
288,Олейникова,Олейникова
289,"Русских
фотка
перенос",Russkih  фотка pеpeнoc
290,Салей,Caneй 
291,Гончаренок,Гончаренок
292,"эмоциональный
эстетически вложиться
потягивать огромный;",эмоциональный эстетически ВЛОЖИТЬСЯ потягивать огромный;
293,"рокан
вест",рокан BecT
294,"карат
бронь
ливрея",карат бронь ливрея
295,"догнать
лотерея
слабнуть",догнать лотерея слабнуть
296,"Хейфец
задрать
40109,",Хейфец задрать 40109
297,ходики, ходики
298,Осмоловский, — — Осмоловский
299,заклинание,
300,89189,89189
301,"9708626915 секрет Фроленко
10775 запариться 9935867172
68540 58237 Ахмадеева кулачок  ;
присосаться порхать мастеровитый",9708626915 Фроленко секрет 10775 9935867172 запариться 68540 58237 Ахмадеева кулачок порхать мастеровитый npucocaтbcя
302,"печенье
Мячина
Смыслова
делать",печенье Мячина Смыслова делать
303,"вобрать
лабиринт",вобрать лабиринт
304,"Шейко
комбриг",Шейко комбриг
305,улюлюканье:, улюлюканье:
306,63523, 63523
307,"игрек
Лесняк",игрек Лесняк
308,глаз,H!  рла3
309,"варьировать
марионетка(",варьировать марионетка(
310,"отбой
Юлий", ОТБОЙ Юлий
311,солома,солома
312,"9426716317(
партактив;",942616317(
313,"усадить
прялка
рвота",yсадить прялка pBoTa
314,Зезюлина,3e3юлиHa
315,"рядком
мироточение
Стасюкевич
ансамбль",рядком мироточение Стасюкевич ансамбль
316,"Конаков зевака
посвистеть  :",Конаков зевака посвистеть
317,шельф,шельф M un Fa
318,"свое
проблеск
размен
скушать",свoе проблеск размен скушать
319,"сосец
пара !", сосец нара! 
320,"вертеть кортеж
гаражный Лапцевич",вертеть кортеж гаражный Лапцевич
321,Майстрович,Майстрович 
322,именование!,  именование!
323,воспринимать,воспринимать
324,"ясность
фехтовать
Жарикова", ЯСНОСТЬ ФЕХТОВАТЬ ЖариКова
325,неопределимый,неопределимый
326,"резиновый
Соломко
тютелька",резиновый Соломко тютелька
327,прорубь 83227,прорубь 83227
328,Битель,Битель 
329,седина,sedina
330,"умильно
Степченко
застава
ценностный","умильно Степченко застава ценностный 71408404 4 15-462126-88""38 022** 22 2424-180380-6  B468 CPE 86447144 0 2287191N 7224-4049 142- 0  478 10   S06"
331,"лисичка
трещать",UWW нисичка трещать
332,"мгла платан
Кураленко
брянский",мгла натан Kypaлeнкo брянский
333,"шприц
одеть",шприц одеть
334,"искоренить ask
усопший
экстази",искоренить ask усопший экстази DWRD D 
335,"язык
парта",ПАРТА
336,Жодик,Жодик 2919
337,Германов:,деpuснов: V
338,23750,23750
339,"прогуляться
малокровный
Черникова ?",прогуляться малокровный Черникова ?
340,96845!,96845
341,"выход
Пстыга",ВЫХОД Пстыга 
342,"Галяутдинова 9124531034
эмиссия Чечко постфактум",Галяутдинова 9124531034 Чечко постфактум ЭМИССИЯ 6
343,"разливка
гиперинфляция",разливка гиперинфляция 0
344,проблематично,
345,"остроносый
взимание",остроносый взимание DELEE ace ox be
346,"Минченко
перстенек мироощущение",MiHчeHko перстенек мироощущение
347,Паутов,Паутов
348,"сконструировать
посыпать чемпионат-
Корхова гравий",сконструировать носыпать чемпионат- Корхова рпавий
349,9691600660,9691600660 
350,"солончак
укрепить
сеть)",СОЛОНЧАК YКPЕПИ
351,"никотиновый юла
высоко вытяжной",НИКОТИНОМЫЙ Oλa ВЫТЯЖНОЙ BbCОKО 
352,сайт,cait
353,"бумажка :
бережный
работать
пуховый", бумажка бережный работать пуховый
354,онлайн-,онлайн
355,gave;,gave;
356,"убежать
спора",убежать cnopa
357,"армия,","apмua, ( "
358,"93776
Каверин
обтирать
попугай",93776 Каверин ОБТИРАТЬ ПОПУГАЙ
359,хобби,XO00 
360,"cross
82067",CROSS 82067
361,прельщать,прельщать 
362,дико?,  дukо?  
363,"шикнуть
желаемый
десантник
толпиться?",0 шикнуть желаемый dесаnтник толпиться?
364,выживаемость,ВЫЖИВАЕМОСТЬ
365,самозарядный,самозарядный 
366,"конечный
Даниэль
кошма
бортовой
Бузук  ;",конечный Даниэль кошма бортовой Бузук
367,вуду,BYДY
368,Василюк,Басилюк 0000
369,"парняга обмотать
барыга",парняга обмотать барыга 
370,"Муха
себя",MYXA СЕБЯ
371,Жуков,NE 10  *y KOB
372,битл,0A88444 6um 8
373,Макей,1 МАКеЙ
374,"стойкий
Кушнерова)",стойкий Ky шнерова
375,улан,ynaH
376,Проханов,Проханов
377,"чага
колли.",чага КОЛЛИ. 1
378,"зрелость тайм-аут
автотранспорт",тайм зрелость -aym aвтотрaнспoрт
379,ружьишко,PK
380,мура),Mypa)
381,одиночка,чка
382,"задурить Полторак
посрамление",зagypumь Фоторак посрашление
383,"ипподромный фол
полутруп",ипподромный Фол полутруп
384,"карлик
щека",арлик щека
385,"сизый  )
Гаврилов
Ганиева",СизыЙ ( Гаврилов 033 K
386,подать,подать
387,утихомириться,лириться ymux
388,бизон,6u3OH
389,вьюга, выюога
390,"разлиться
уменьшать",разлиться уменышать 
391,paper,paper
392,"вероятностный
57894
временный",вероятностный 57894 временный
393,"Сачек
льстить тутовый",САЧЕК ТУТОВЫЙ ЛЬСТИТЬ
394,Сазановец жизненный, Сазановец жизненный
395,"Лукьянцев
Бодунов",ЛУКЬЯНЦЕВ Бодунов  
396,"центр
титан", центр титан
397,"замуж
Савчук",замуж Савчук
398,"вправить
ломик диджей
look
заячий
Леонардо футболка",вправить ломик диджей bok заячий Леонардо футболка
399,Горецкая,ФОРЕЦКАЯ
400,"престижно
напортить эмиграция
куница
дольмен выплакаться",ПРЕСТИЖНО НАПОРТИТЬ ЭМИГРАЦИЯ KYHИЦА ДОЛЬМЕН ВЫПЛАКАТЬСЯ
401,"падло
подлог
сударь
Норко",надло подлог сударь Hopko
402,"Евгения
Лепеш
Довгань",Евгения Лепеш Довгань 
403,ускакать,ускакать 
404,"славословие
по-черному
вколоть Ляпко",славословие по-черному Ляпко ВКОЛОТЬ 
405,рассеяться,H РАССВЯТЬСЯ
406,елей,елей  XX
407,джиу-джитсу, ДЖИ-ДЖИТСУ
408,"Борбат Пигулевская
измазать никак
Соломко огнеупорный
Передня",Борбат Пигулевская измазать никак Соломко огнеупорный Передня
409,22846,22846
410,"технически
заиграть Ильинчик
Воркута рукопожатие)",технически Ильинчик заиграть Воркута рукопожатие 
411,Шахов,Шахов 
412,Болотов, Болотов
413,раут,ST7  PAYT 64 421X257 S9C90 mtt 07.1
414,"иначе
Жилин?",иначе Жилин?
415,прям,SEP прям
416,Полянский,
417,"обмахиваться
Сазановец",обмахиваться Сазановец
418,"хомячок
Седлецкий
корректив
тунец", ХОМЯЧОК Седлецкий 000 корректив тунец
419,"призрачный
никель Новоселова
дельфинарий рука
сотрясение душевой",призрачный НoBоселoва никель дельфинарий pyka душевой сотрясение 
420,"стилизовать
загорать", стилизовать загорать
421,"недоработка
трудолюбиво",НЕДОРАБОТКА ТРУДОЛЮБИВО
422,барон,оябон
423,запылить,запылить 
424,светило,светило
425,"Самарин
гудеть",Самарин гудеть
426,капитан,
427,оземь(,земь(
428,"85266
93816
после",85266 93816 nocne
429,Мальгин, X
430,ваххабитский,
431,прорубь:,прорубь: 
432,"никнуть
Хурсан зажим невысоко обновляться грипп", HUKHYTO Хрсн зим н обт т
433,city,city
434,понаблюдать,понаблюдать
435,"антагонизм
9594625313
бесценок:",АНТАГОНИЗМ 9594625313 БЕСЦЕНОК:
436,матерый,матерый 
437,"натрий
доступность
Тель-Авив
билетный
откинуть!",натрий доступность Тель-Авив билетный откинуть!
438,завоз,заBо3 
439,Савостьян,
440,"Сталин 23963
обговорить дробина
ведомость",Сталин 23963 обговорить дробина ведомость  
441,Крук, Крук
442,Таджикистан пиала,ниала
443,"Лапа
трал",Лапа трал '
444,"сосуд
выпархивать
чванство",cocyд выпархивать чванство
445,"асбест плюс Чуркин
болячка СПИД",ac6ecm ПЛoc Чуркин болячка спид
446,"перепилить
коса чуять
Ермаков",перепилить коса чуять  Ермаков
447,"сдерживаться бриг замолчать
водоснабжение лор митоген
варшавский Романко Лысенко",6puг сдерживаться замолчать водоснабжение лор МИТОГЕн варшавский PoмaHko Лысенко 
448,9964304271,9964304271 
449,"загрязнять
санузел
начинать", загрязнять санузел начинать
450,кило-, КИЛО-
451,"начхать Шиман
Батурин",Шиман начхать Батурин
452,"коситься
теперь герольд",  коситься теперь герольд
453,"26076:
элита,",ЭлиТа
454,"опоясать
припас",опоясать npunac
455,пища(,ННЩА(
456,73395, 73395
457,"Маврин
знахарь",Маврин знахарь
458,"Кузякин
Шефер
глухомань",POLICJA Кузякин e Шефер глухомань
459,досуг,O D I D досут
460,"Салихов
рдеть
оживить",Салихов рдеть оЖИВитЬ
461,училище,училище
462,резистор,резистор
463,татарский,татарский
464,норд,HOPд 
465,ахти,4E aхTи
466,наметка,наметка 297 SE69S 834
467,"армяк
Рязанов",армяк Рязанов
468,киселевский:,а 20t 017
469,атом, aтom
470,Фридман,Фпидман
471,"сталь Босния
плечики)
парашют
Шугай Ищук)",Босния сталь плечики) парашют Шугай Ищук)
472,"мести
бесстрашие
Шорников
епископат
кайма,","мести бесстрашие Шорников епископат кайма,"
473,угореть,yгopmb X
474,биосферный,6uосферHый
475,гласно,гнaсHo
476,"Кислов сарацин цветочный
никак
вырисовываться",Кислов сарацин цветочный никак вырисовываться 
477,99687,99687
478,"расовый
выткать", расовый ВЫТКОТЬ  . © 3
479,"Цыбин.
юрьев", Цыбин. юрьев
480,план-,C T H AAH 
481,"планктон
древостой
воин",нанктон древостой BOUH
482,78741,78741
483,крона,RR  237- KроHa
484,"низкочастотный
отстаивание
вяз булькнуть",низкочастотный отстаивание булькнуть B93 11
485,Чура-,S  4ypa-
486,щелка,щелка  
487,95285,. t C. P e 1953
488,"трио
вроде:",mpuo Bpoдe:  
489,"практичный блаженство
Резникова поэтому",практичный блаженство Резникова поэтому
490,ударять,ударять
491,Манаев,MaHaes
492,9668712443,9668712443
493,Шашок,Шашок
494,"белоручка
Мардас
добывающий",белоручка Mapдac добывающий
495,"сливной
лысина",СЛИВНОЙ льсина 3 
496,речь,E  речь
497,"депрессия
Счастный :",депрессия Счастный
498,крик,КПИК
499,"продажа
Рындин:",ПРОДАЖА РыHдин: 
500,почетно?,почетно?
501,94358:, 94358:
502,Бедрицкий;,Бедрицкий;
503,евроремонт,езроремонт
504,"научаться ожог
текстильщик
Романько",научаться ожог текстильщик PoMаHько
505,"надоедать 10151:
сатиновый",10151 надоедать сатиновый X
506,комдив, КОмДИВ
507,"Якубовский изгой,","Якубовский изгой,"
508,Пипко,Пипко
509,Ганс, Ганс
510,"Феофан
вбежать шарада
глубочайший",Феофан вдежать шарада глудочайший 
511,"коммунар система
кринолин взбодриться
свами выписка",коммунар система взбодриться кринолин свами выписка
512,"мирный
дерзить
Шунейко
важный",мирный дерзить Шунейко вожный
513,9635385438,
514,Голос:,Голос:
515,Нечитайло,Нечитайло
516,"расцвет изгой
Войтович
Бородавко",расцвет изгой Войтович Бородавко
517,"импульс
inch", импульс inch
518,многолюдно,МНОГОЛЮДНО
519,Шанько,Шанько
520,перестраховщик!,
521,Дрозд,Дрозд
522,Мамин,Мамин 
523,должон,
524,"Воронюк  :
повременный",Воронюк повременный
525,софизм,софизм 
526,причащение,причащение 
527,"Сытин щербатый )
Маркин патиссон",Сытин щербатый Mарkин натиссон
528,"молот ?
Качур
Колодко",- 1 CO C МОЛОТ Качур Колодко
529,тиранство, тиранство
530,картер.,картер.
531,"9576343116,","9576343116, 8"
532,"шарфик
масло", ШАРФИК МАСЛО
533,"панихида
МКАД  )",панихида МКАД (
534,патриотически,
535,"Кремез
наголо",Кремез наrоло
536,соловей,соловей 0UTAN
537,"кто-то
необычность",KTO-TO необычность
538,микро,МИКРО K
539,10775,10775 Goll/aly P My Ule/a ^2 41 HCN Seh amto1 A-U 19964949897770 C 4376081 4S67 680987697809589/770 NinSTOOTendoSwA9. KSSEMBLDINJAP NACAAPALP *9090OY. NntendoSwtcnnS-Nnendo SwitchaXomieF. Ucered ty Nintendo ASSEMBLED IN JAPAN HAC-P-AXFSACIPN TRA-HAC-AXFSA-IPN
540,Петрачкова,
541,"тюбик
Конго",тюбик Конго
542,Красиков,Kрасиkoв $3.95 U5 35 50 Con 03
543,Харбин, Харбин
544,улус,YJYC  
545,провиснуть,
546,"Тетерина заупокойный
малозаметный",Тетерина заупокойный малозаМетНЫЙ
547,"свежеиспеченный
буддизм Коган
гостеприимство",свежеиспеченный буддизм Коган гостеприимство 
548,"грамота
старуха
Дрожжа",рпамота старуха Дрожжа
549,"Гурский рамочный
понарошку",рамочный Фypckuй понарошку
550,условно-досрочный,AAN
551,"недоносок
реформатор",HeдOHOcOK reformator
552,пальтишко,IК пальт
553,"физфак
завязка-",физфак ЗАВЯЗКа- SRR
554,сердиться,S ТЬСЯ серди
555,"слыть
мавр", СЛЫТЬ мавp rends in Workforce Development r-security-2017
556,"69534
Завьялов
Токарчук
подновить
столетье ?", 69534 Завьялов Токарчук ПОДЕ НОВИТЬ СТОЛЕТЬЕ ?
557,цаца,цаца
