index,answer,prediction
100,ДИЗАЙН ВЫВЕСКИ,ДИЗАЙН ВЫВЕСКИ
101,PANDORA,РАЛ)О@А
102,ПРОДУК,ПРОЦУК
103,"PIZZERSA 
 Z 
 HOLLE",но
104,ОЛИМП,@4имп
105,САМОВАРЪ,САЫОВАРЪ
106,GRAFF G MEDIA,сА# ИФОИ
107,SHOP,"""#О2"
108,PIZZA,РЗА ИЯЪЦ
109,M,
110,этисэль САЛОН КРАСОТЫ этисэль САЛОН КРАСОТЫ этисэль,@~ САЛОН КРАсОТЫ @@  САЛОН КРАСОТЫ зм@м
111,Перспектива ,С:^ ! окъ 71 Перспектива
112,PARK,'
113,ЭЛЕКТРО ПРОВОДКА,РПЕКТРО ПРОВОСКЯ
114,HYUNDAI,5А нхнпрп
115,Красное Бел,Красное 'Белс
116,ФизКульт СЕТЬ ФИТНЕС КЛУБОВ,явы с Е1 Ъ ит# вс
117,CH CH,Сн-сн
118,MAMA DOMA товары для дома,ФОМА ТП4 дома ;ля Атобары
119,САЛОН КРАСОТЫ,1410 П Глгы и1ш Р4441пагт
120,Абсолют Банк,АбсапютЫа
121,"ГОСУДАРСТВЕННЫЙ 
 ДРАМАТИЧЕСКИЙ 
 ТЕАТР",госумАвстввшный мАтичвский ТЕАТР
122,OPEN,@₽Ем
123,"всЕзнайка 
 Дитяча студiя розвитку",студоя 898 65 3 розвитку Дитяча
124,ЧАСОВАЯ МАСТЕРСКАЯ,"""илв1 Бп]]л 'И] л ЧАСОВАЯ ШИЕПЕРЕНАЯ"
125,КНИГИ,""" ~(@524  Ы"
126,ApiJo,[ш&
127,ОБУВЬ,ОВУВЬ
128,Банк Клиентский,[4 Ранн Кммемъсьии
129,-А,=1!
130,PASCUCCI,"на @А=ЧЧ д7"""
131,ВЪЕЗД НЕ ЗАНИМАТЬ ШТРАФ 2 КОЛЕСА В ЧАС,ВЪЕЗД НЕ ЗАНИМАТЬ ШТРАФ 2 КОЛЕСА В ЧАС
132,Дореволюционные вывески в Москве,Дореволюционны выввеки Москве
133,"VANIL' 
 кофе булочка",У^ кофе&бухочка
134,ЕЙ ГНИ РМАРК,
135,ВЫВЕСКА ВЫВЕСКА,ВЫВЕСКА ВЫВЕСКА
136,АПТЕКА,А Ш 1 Е КА
137,ESTHETIC CENTER MEAMO,МЕМО
138,-1 URAL FERRUM FI HT LU,Мш ( ( ТоНТ
139,красный куб,КРАСнЫЧ КУБ
140,БУКВЫ,БУКВЫ ГЧНЕР ;ю ЕкПГунн Та
141,CHURCHILL,(
142,N,
143,ЛЮКС ВОДА,ЛЮКС вОда
144,охОта рыбалка,хкОта
145,"сеНоВал 
 трактир",% тракт р СЕЛО 
146,Трюфель,(фисфель =
147,WILDBERRIES,[[Ц)В@@@@Я
148,G,(Ы
149,ЗОЛОТАЯ СТРЕКОЗА,3о0оТА я СТРЕКОЗА
150,МЕСТО ДЛЯ ВАШЕГО БРЕНДА,МЕС9 ПЯВАШЕГО БГЕ ПА
151,Park Claros,Яас оо&
152,"ИП Белик 
 РЕЖИМ РАБО 
 с 9:00",0 РЕЖимешв~ Боми иы 9300
153,WILDBERRIES,3 [<.:@@@[ЕЯ
154,Восточный ветер ТОРГОВЫЙ ЦЕНТР,"ЗОСТОЧНЫЙ ВЕТЕР ТОРГОВЫЙ ЦЕНТР ЕАЯПЕтаР РАЭРАБОТКА , ИЗГОТОВПЕНИЕИ МаНТА Ж РЕКЛАМНЫХ КОНСтРукЦия илл {ЕпЭБ56;"
155,МАГНИТ КОСМЕТИК,МАГНИТ 9 КОСМЕТиК
156,ruine,"'""1 &"
157,Хинкальная,ЭСинкалъная
158,"DeSheli 
 Beauty center",Ф &6е^ Зеяеф сексет
159,М.видео,Ш*?
160,БАНК ЮГРА,БАНК ЮГРА
161,The GENIUS,ЕЖпи Унв (6Е`-€8 иил иалтч
162,TRUSSARDI,"Т2_ЗЗА?>] Тг з-г;] 'сэп$ 3203 ЪА, 50"
163,ОБУВЬ,
164,долг Верни чорт,яе Ве Рии чор1 %о^Г
165,повестки в унитаз!,пторестки УНИТА3 !
166,"СПАСИБО, ВАЛЕРИЙ ГАРКАЛИН",сисиго; чаАлЕРий Итин
167,19-037-84-82 МИХАИЛ,"оо7 #52 ""ИХАИЛ ~З5 ["
168,baby it's cold outside,"""ё 6"
169,КУРСК - СТОЛИЦА СО КРАЯ,КУРС
170,СМЕРТЬ,ППУЕ
171,МАША,59 ₽Ы ^к
172,baby its Cold qutSide,"(( (Ш""? ((к"
173,KING OF THE STREET,К{ы6 8Л 88Т
174,граждане! ПРИ АРТОБСТРЕЛЕ эта сторона улицы наиболее ОПАСНА,ПиИ ИШЕРЕН ПИПНИ НИЕЕ ШЦМ
175,МАТЕЛЕН НА ДОРОГЕ,ОТЕ
176,"МЫ 
 СЛЕДИМ",САск ЦЛШч
177,spring96.org,~р п996ы9
178,63 школа ул. широт ая,63 ШКО^А Шугозин а5 71
179,средняя общеобразовательная школа №,"ПГААМЕГиШа Шиитму 1, "" Глашиин Г (РЕДЦНЙЯ ПЕЦЕЛЕРАЗПШАТЕЛЪНАН пыи1; ТНти [ ЛШЕЛЩММЕАС  Ш"
180,бизнес-центр,=анв5_ца-ц:
181,"АМЕНТ ОБРАЗОВАНИЯ ГОРОДА 
 ВОСТОЧНОЕ ОКРУЖНОЕ УПРАВ 
 ВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ У","РИзИкОМ: РГ}^На ПРЕНЗП ; СТЕЕННая [ >2'ко-ай ВЮЕНТ ОБРАЗОВАНИЯ ГОРОДА М ВОСТОЧНОЕ ОКРУЖНОЕОРПРАВГ ""ВЕННОЕ ОБРАЗОВАТЕЛЫНОЕ У"
182,досугово-спортивный центр гармония,"""н"" ""ДОСУПОВО-СПОРЛЫВНЫЙ ЦЕНТР ""ТАРМТНИЯ"""
183,"We prepare for 
 Cambridge 
 English QualificationsTM","[ы (ашэ (&е [вл @1са@ $"" ереае"
184,Средняя школа 23,Сулняя школа 46235
185,"СЕЧЕНОВСКИЙ 
 УНИВЕРСИТЕТ 
 НАУК О ЖИЗНИ",СвнЕнОвскии Унивтесит НАУК 0 Жмэни
186,"СРЕДНЯЯ 
 ОБЩЕОБРАЗОВАТЕЛЬНАЯ 
 ШКОЛА №143",ПЛшнпчч1 тпитдклпмиыы 'чи 11нПЪ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА Ме]4з ГАЕЛГГПНЫННЛГУЧЕНПЕЧАШИЕИИИАшТОУяНГ глычпмиеиитшиннЕкшшшиипт 1тыгпшлтипигиулмнпмтлиид ШыпРиниелмтиыннтп трр
187,"Украинская 
 Торговая Гильдия","П~Еп:Н ЕПС ЕРЧ4енв ПЕГЕПГАНГ БмЕнг Украинская Торговая Гильдия 5.   56',зш # "
188,"СПОРТИВНАЯ ШКОЛА 
 ЯМАЛ","#СПРТИРИЕЯ ""ЧЯ #Ям^"
189,ХОРОВАЯ ШКОЛА Алые паруса ОРГАННЫЙ ЗАЛ,СА!ейя Снтшный 1 еыу
190,СРЕДНЯЯ ШКОЛА 155,СРЕДНЯЯ ШКОЛА [155
191,"Здравствуй, ШКОЛА!",ШОЛА; аэ гц 0
192,мебели,
193,"ЦЕНТР 
 ПСИХОЛОГО-ПЕДАГОГИЧЕСКОЙ, 
 МЕДИЦИНСКОЙ И СОЦИАЛЬНОЙ 
 ПОМОЩИ","пмгшкнтпэтшла ?а цынн =сИх""Пата Иг л]инин пямЕИАлЪ0н ППмаП"
194,МФЮА,шчал #ь МФ[А: Я
195,Управление Книги Видео,Управление- Книги Видео
196,Street Shop,$-г @ < ~Л' .
197,"СТАФФ 
 КИЕВСКИЙ КЛУБ 
 КУДО",4 [ТА4# КИЕВЕКиЙ КАУЪ КУДш
198,точка роста,ТОЧКА РОСТА
199,ЦЕНТР,"""аиомм"
200,НАРУЖНАЯ СОГЛАСОВАНО РЕКЛАМА,{ЛГЛАСОВМНО
201,Территория красоты,красоты Территория
202,СКЛАД ОФИС ДЕМО-ЗЕЛ,СКЛАД ДЕМО-ЗАЛ ОФИС
203,ЛИГА,'4Й
204,ВЫЗОВ  ПЕРСОНАЛА,вызов ПЕРСОНАЛА ~иъагь.я' 1
205,Мил,Ми4
206,Абсолют Банк,0 (Абсолютг Баж
207,ОДЕЖДА,ОАЕЖМ
208,АПТЕКА,АПТЕК^
209,KUCHEND HOME,"НОМЕ ""{ОСНЕЮЦ^)"
210,пальчики маникюр-педикюр,шальч_к_ аникюр-педикюр
211,город Солнца,{(
212,ОЛЛЕГИЯ АДКОВАТОВ г. МОСКВЫ «ПРИЗЫВНИ,"4 аппкин Адвамгуы маг П ; ,"
213,ТЕАТР Аквариум,"ТЕАТР 4с&а/""Е4ТР"
214,Ц,
215,ТВОЙ ДОКТОР,[чК ПогОТазиг ЕДЪ ШОГМ] ШУм ннянии
216,МИНИМАРКЕТ,минимкв д
217,ХЛЫНОВ,илынов
218,КЛАССНЫЙ У ОЛОК,кллясавшышя ял
219,АЗПРОМ Е,Ш
220,переулок якорный 10,П Е ₽ ₽ У Л якоРный 10
221,ПРЕЧИСТЕНКА улица,ПРЕЧИСТЕНКА У Л И Ц А
222,RUE DE POITOU,"ВШЕ ₽ОП"" яшш=в"";"
223,11,
224,ABBEY ROAD NW8,дПЕ #ПДП Ун8
225,улица МОСКОВСКАЯ 5,УЛИЦА МОСКОВСКАЯ 5
226,улица К.МАРКСА 26,УЛИЦА К. МАРКСА 26
227,улица Полевая 35,ПП1 Полевая 35
228,11 улица ГРИБОЕДОВА,11 (вошу)у) УЛИЦА
229,переулокъ,"ПРПЕпЮлЪЫА ППШЧПП1 П ЕРЕУл ОКъ Пгуннг ыщлъичцыщ магн иэпгтсял€и яыг таблички г Нлынинун тпштъукгйн$ПЕы-ылшъ +ШЪ:Пэ=эъцп |ЛиЕ;ктыт""7к ш₽ППр иТиг 'рШк Ецеилга_=п7 ЧЕПП] чилн 'Хсски #[с лкслпи немпличии ииминллпн шчмавшшц {цщ5е<ллч< яыц пъшаптомиы; ""#ц69хьц 4ин &ипцин салем; ТтлнттаТЕ7тТрл 'т5ч=лы аакипкаданошшк Ничнан4"
230,57 СОВЕТСКАЯ улица,57 СОВЕТСКАЯ улиша
231,28а улица ЛИЛИЙ,28а улиЦа 1 И Л
232,улица КООПЕРАТИВНАЯ 15,КООПЕРАТИВНАЯ УЛИЦА 15
233,УЛ. ЩЕПК ДОМ 29 ,"60 71: ШЕПЖИ КЫЛНАШЕ@ ДОМ 29 ""М 09 {50[ДЩ@Е?У ) 3"
234,КАК МЫ РАБОТАЕМ,К#4К МЫ РКБОТАЕН АПЕЕТЫЫиН щнаш [ЗПшГТКЕ
235,18,ташши
236,RICE,@'С;
237,нут,НУТ
238,DONATiON,)[.А'[&
239,НУТ,НУТ
240,RICE,вс:
241,CAR,(А
242,Firefly,"<~с  ;2<* 9чазз @,а)а)а с п 6+Ф "
243,DONATION,[О.ТЮ&
244,PEACE  TRUE LOVE,"РЕД(Ч ""и: [ЭВЕ"
245,Home,"""иЧар"
246,ДЛЯ ХОРОШЕГО НЕФТЯННИКА,"ДАа КОРШ:П ""ФЛЯИНИК"
247,PASTA,Р 5
248,ДЛЯ / ЛУЧШЕГО / ДИРЕКТОРА,ДАЯ ХУФШСГО ДИРСКТОРА
249,Raspberry,Яи-беу
250,TRAVEL,Т?АЪДЦ
251,NATRII HYDROCARBON,"Р72 "" . ИкОЛлс  _кеши РБАЧИЕ 'и' , , ~ека #4 н'[ @А ""} &АК]"
252,FOOD DONATION,#ОО. )О_АТО.
253,ACAT BEKKY,
254,CanStockPhoto.com,Сап:-к-п~о сош
255,банк россии 10 рублей 2022,РУБЛЕЙ 2 0 22 ?оссян БАНХ 6
256,НотарiуС,@омдьи@
257,100 EURO,2 з2 00 2оя6 онь ~00=чв% 200 твон
258,DREA S,1
259,СЕЛЬД,1
260,ЧЕЛОВЕК ТРУДА,3 ТРУДА
261,"В баньку заходи, если чё",Ввчньку ЗЧХОАН; ЁсАн чё
262,2,
263,OF NATURE,Цшут {А? @Е
264,РОССИЮ!,Цессию .
265,На отопление,0 ОПОПЛРНШЕ
266,NK OF RUSSIA,аз ~ззи
267,не жалко добавь не хватает возьми,н: #АпнР ДоБлпъ .
268,Что за надпись ПТТ на банкоматах в Турции? Это банк?,"Что за надпись ""ПТТ"" на бакоматах в Турции? Это банк? ЧЕ}аАЕЫ"
269,Yeb ,~ошь
270,СБЕР Для жизни,СБЕР Для жизни
271,00 EU,"ОО5"""
272,"Эй, бизнесмены ! К вам опять из банка приходили",Адять Цйнг  Пыагнсшв темтатишя
273,ЧТО НИБУДЬ ПОПИТЬ СО ВКУСОМ ЛИМОНА,ЧДО НИБУДЬ ПОПИТЬ (0 ВКУСОМ ЛИМОНА
274,MasterCard VISA,[.%4 Пшыы
275,CRISIS,с ₽ [''$
276,САНКТ ПЕТЕРБУРГ ПЕТР I ПРЕОБРАЗОВАТЕЛЬ,<ЕТЕ ₽ Б У₽д САН Кт 3 (РЕОБРАЗОВАТЕМ?
277,Ces e emps des cerises,~~ Фх сежёзех ~л;' 
278,Сеченовский Университет,#АЯПЕАТОР РАЗРАБОТКА; ИЗГОТОВЛЕНИЕ И МОНТАЖ РЕКЛАМНЫХ КОНСТРУКЦИЙ ~жж519 365 г (пНСИНМ
279,НАУКОЖИЗ,#АЯПЕАТОР РАЗРАБОТКА; ИЗГОТОВЛЕНИЕ И МОНТАЖ РЕКЛАМНЫХ КОНСТРУКЦИЙ шж519 365 г Нш
280,московский педагогический государственный университет,ынан_ъыш 1ат паин иаисв; ТЕдемАна Бюдт ШЛПор 'овааоасиобствЕнна дЕнхт ОгзоПшЫ; 'МОСКОВСКИЙ ПЕДАГОГИЧЕСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ> Шт :шаншчэЕаи гяетысша_ан
281,оптика,ОПТИКА
282,лужский государственный университет,ВЕННЫ = € Аато
283,БОМБИЧЕСКАЯ ШАУРМА,БОМБИЧЕСКАЯ ШАУРМА
284,СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ АЭРОКОСМИЧЕСКИЙ УНИВЕРСИТЕТ имени академика М.Ф. Решетнёва,'АНИВЕРСИТЕТ ОСеМИкадемика МФ Решетнёва ГОСУДАРСТВЕННЫЙ СИБИРСКИЙ АЭРОКОСМИЧЕСКИЙ
285,ЕВРОПЕЙСКИЙ УНИВЕРСИТЕТ ГОСТИНАЯ ПРОФЕССОРСКИЙ КЛУБ,"щэ € олао ЕВРОЛЕЙСКЦЙ УНИВЦРСИТЕТ а  9с56 ЮОСТИНАЯ ШРОФЕССОРСКИЙ КЛУБ """"шиыелны"
286,кристалл ювелирный магазин,КРИСТАА ШмнГАоин ~Е#мый
287,брэнд медиа,БРЭНД [Едид
288,аптека,
289,АПТЕКА,ЕШПТЕКА
290,"Акционерное общество Клинический госпиталь ""НейроВита"" ",ПланачЕскым тоспшаль вИеароВшач
291,Шаурма,[Шормо
292,УНИВЕРСИТЕТ,Уиметсин миэ
293,cfmoto,гшашта 'тап
294,государственный университет высшая школа экономики,ВЫСШАЯ 'ЭКОНОМИКИ [{И-з эжАВ Ы УНИВЕРСИТЕТ ГОСУДАРСТВЕННЫЙ ШКОПА
295,Жилфонд,"кЖилфонд"""
296,ОТЧЕТ о деятельности Муниципальной библиотечной,5 Птштпынй-т Минактыпьчнймбшпагинаа 7ы0глп
297,ЛАВКА,и ЛАВПЕ
298,сележ электро,"""СЕ^ЕЖ -Э^ЕТРО"
299,материалы 67-й универсальной научно- технической конференции студентов и молодых учёных,МАТЕРИАЛЫ
300,юность,юпос ь
301,RISE LOUTEK,3('- !ТЁ'
302,О,
303,алерея,1 [ЕЕЯ 550
304,император ба,
305,КОНГРЕСС,"КОНГРЕСС 4-ш,7451ыгмипинмэч Нх"
306,R4S,0 +~
307,ЦЕНТР ВРАЧЕБНОЙ КОСМЕТОЛОГИИ,ГКОСЫЕОЛогии еПеенм
308,Сергей Атремьевич Айвазян,Сертей Пыинп АЙвазян
309,HOURS O OPERATI MO  8am-6pm S - 5p  su  ,НОШ@З @*0РЕ^]( Мор Зш-6рш & (5р11 20 ЯУ ЛМрафИЮа ЭШ ПраФ7
310,P UM HANDMADE ODUCT COFFEE MADE SA,ГС 0 ₽ Е Е Е :|
311,Qudos hair design,"#0 {еяём ,;'"""
312,Ваш Текст,"Ъч(@к%"""
313,Я ЛЮБЛЮ,2 6 
314,MIIM DESIGN PRESENTS BOM Boom 3D LETTERING with 3 color alternatives,"М М М [Е 5 1 6 # Р ₽ Е $ Е МТ $ 3 ) [ ЕТТ Е ₽ ] Ы 6 ~& 3 ~~у ""~м  }"
315,знан ИСТИН,ЭНОН} {Ш
316,ВИДЕОНАБЛЮДЕНИЕ МОНТАЖ ПРОЕКТИРОВАНИЕ 8 961 536-04-12,ВИДЕОНАБЛЮДЕНИЕ МОНТАЖ ПРОЕКТИРОВАНИЕ 8 961 536-04-12
317,GalantClub,"(""лСеже"
318,спасибо за больного сына,ПАСиЛз6 '1++ ДОРОЖНЫЙ ИНСПЕКТОР БАЗ Ч6т =Ъ:'_
319,Wash me,9]
320,REKLAMA NAPISY NAKLEJKI,ВЕКШШ ~шы ШНКЕЛИ
321,Никаких больше вечеринок,"Щижожи? (04Ъ""ё {МерУток"
322,Машина  куплена в комплекте с правами,Машина куплена в компАекте с правами
323,20,20
324,БИЗНЕС,Еизне
325,Ваша надпись,'аша 'набпшсь
326,К45,
327,НЕКОУЗСКИЙ,~4 Ресв: [ Ресшек некоузский
328,"КЛУБ РЕНО сервисы, помощь, общение, встречи",КЛУБ РЕНО сервисы; псмощъ; общение; встречи
329,PLAY DALNOBOY,"еи оАшово,"
330,Ваша надпись,Шаъ Вашо
331,nokstv.ru,"[@@[""@Ч"
332,СЕГОДНЯ МОЖНО,МИИ 1 |
333,Dicas,"г,  Тасъ"
334,BAD GIRL 230573 POLICE DEPT.,ВА) 6'@_ 230573 РОЦСЕ [ЕРТ
335,1,
336,УПАКУЕМ ВСЁ!,ЧПНКЧЕМ ВЕЁ!
337,Stay wild,9  {яч;
338,STAR WARS,ш: ~ДР;
339,УСАДЬБА СЕМЬИ ТИТОВЫХ,"УСАДЬБА СЕМЬИ ТИТОВЫХ Пастраециа 2014 годт ПЕ:е""лИНГИ аЫ""иини Пшаша БППЕН= ЧШЕФЛНЕЕИНЧ Титала Сергск ЕалерЬеиЧМ УстНРНИНН: [1ты7г"
340,KRONOS,[Ш[ 0 $
341,"Издательство ""Экзамен""","Издашельсшео КЭКЗАМЕН"" ш # "".1  0]? &"
342,АДВОКАТ ЛИТВИНОВ ТА ПАРТНЕРИ,АДВОКАТ ЛИТВИОВ ТАЛАРШНЕР
343,СР ОБЩЕОБР ШКО А,вшша Муниыж отигастду с}шшя ОЫШРОБРАюАлыца шлам
344,фисный центр СПЕКТР,@фисный центр СПЕКТР
345,96 проспект МЕТАЛЛИСТОВ,9 проспект МЕТАЛЛИСТОВ
346,YACHTING Туристическая компания МДМ-Яхтин,"[ ХА СНТ1& € 1""ристичвская КОм Пания МДМ-Яхтин-:"
347,BEER DA,"ВЕЙК@""ЬА"
348,НОТАРIУС,"МШСТЕНТЛКЕМШли НОТАРМУС ~иичЕштшпаы4 иыча ""Еэ и5} 1 ешлиштана м"
349,Детская а искусств,Пат 6т шеъ Атврши штаскпк Детская а искусств
350,ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ,"шмшмнлат Тосудлрнтненныс 1""нъщщанн линакеотрангенка нъпнмАцнонниппшчьский цын ЩЕПАРТАМЕНЯЯДРАПООХРАНЕШЛ гаРОоркты"
351,ОСТОРОЖНО! Во дворе злая собака,ОСТОРОЖНО! Во дворе злая собака
352,ВЫВЕСКА,ВЫвЕСКА
