index,answer,prediction,correct
110,этисэль САЛОН КРАСОТЫ этисэль САЛОН КРАСОТЫ этисэль,@~ САЛОН КРАсОТЫ @@  САЛОН КРАСОТЫ зм@м,False
111,Перспектива ,С:^ ! окъ 71 Перспектива,False
112,PARK,',False
113,ЭЛЕКТРО ПРОВОДКА,РПЕКТРО ПРОВОСКЯ,False
114,HYUNDAI,5А нхнпрп,False
115,Красное Бел,Красное 'Белс,False
116,ФизКульт СЕТЬ ФИТНЕС КЛУБОВ,явы с Е1 Ъ ит# вс,False
117,CH CH,Сн-сн,False
118,MAMA DOMA товары для дома,ФОМА ТП4 дома ;ля Атобары,False
119,САЛОН КРАСОТЫ,1410 П Глгы и1ш Р4441пагт,False
120,Абсолют Банк,АбсапютЫа,False
121,"ГОСУДАРСТВЕННЫЙ 
 ДРАМАТИЧЕСКИЙ 
 ТЕАТР",госумАвстввшный мАтичвский ТЕАТР,False
122,OPEN,@₽Ем,False
123,"всЕзнайка 
 Дитяча студiя розвитку",студоя 898 65 3 розвитку Дитяча,False
124,ЧАСОВАЯ МАСТЕРСКАЯ,"""илв1 Бп]]л 'И] л ЧАСОВАЯ ШИЕПЕРЕНАЯ",False
125,КНИГИ,""" ~(@524  Ы",False
126,ApiJo,[ш&,False
127,ОБУВЬ,ОВУВЬ,False
128,Банк Клиентский,[4 Ранн Кммемъсьии,False
129,-А,=1!,False
130,PASCUCCI,"на @А=ЧЧ д7""",False
131,ВЪЕЗД НЕ ЗАНИМАТЬ ШТРАФ 2 КОЛЕСА В ЧАС,ВЪЕЗД НЕ ЗАНИМАТЬ ШТРАФ 2 КОЛЕСА В ЧАС,True
132,Дореволюционные вывески в Москве,Дореволюционны выввеки Москве,False
133,"VANIL' 
 кофе булочка",У^ кофе&бухочка,False
134,ЕЙ ГНИ РМАРК,,False
135,ВЫВЕСКА ВЫВЕСКА,ВЫВЕСКА ВЫВЕСКА,True
136,АПТЕКА,А Ш 1 Е КА,False
137,ESTHETIC CENTER MEAMO,МЕМО,False
138,-1 URAL FERRUM FI HT LU,Мш ( ( ТоНТ,False
139,красный куб,КРАСнЫЧ КУБ,False
140,БУКВЫ,БУКВЫ ГЧНЕР ;ю ЕкПГунн Та,False
141,CHURCHILL,(,False
142,N,,False
143,ЛЮКС ВОДА,ЛЮКС вОда,True
144,охОта рыбалка,хкОта,False
145,"сеНоВал 
 трактир",% тракт р СЕЛО ,False
146,Трюфель,(фисфель =,False
147,WILDBERRIES,[[Ц)В@@@@Я,False
148,G,(Ы,False
149,ЗОЛОТАЯ СТРЕКОЗА,3о0оТА я СТРЕКОЗА,False
150,МЕСТО ДЛЯ ВАШЕГО БРЕНДА,МЕС9 ПЯВАШЕГО БГЕ ПА,False
151,Park Claros,Яас оо&,False
152,"ИП Белик 
 РЕЖИМ РАБО 
 с 9:00",0 РЕЖимешв~ Боми иы 9300,False
153,WILDBERRIES,3 [<.:@@@[ЕЯ,False
154,Восточный ветер ТОРГОВЫЙ ЦЕНТР,"ЗОСТОЧНЫЙ ВЕТЕР ТОРГОВЫЙ ЦЕНТР ЕАЯПЕтаР РАЭРАБОТКА , ИЗГОТОВПЕНИЕИ МаНТА Ж РЕКЛАМНЫХ КОНСтРукЦия илл {ЕпЭБ56;",False
155,МАГНИТ КОСМЕТИК,МАГНИТ 9 КОСМЕТиК,False
156,ruine,"'""1 &",False
157,Хинкальная,ЭСинкалъная,False
158,"DeSheli 
 Beauty center",Ф &6е^ Зеяеф сексет,False
159,М.видео,Ш*?,False
160,БАНК ЮГРА,БАНК ЮГРА,True
161,The GENIUS,ЕЖпи Унв (6Е`-€8 иил иалтч,False
162,TRUSSARDI,"Т2_ЗЗА?>] Тг з-г;] 'сэп$ 3203 ЪА, 50",False
163,ОБУВЬ,,False
164,долг Верни чорт,яе Ве Рии чор1 %о^Г,False
165,повестки в унитаз!,пторестки УНИТА3 !,False
166,"СПАСИБО, ВАЛЕРИЙ ГАРКАЛИН",сисиго; чаАлЕРий Итин,False
167,19-037-84-82 МИХАИЛ,"оо7 #52 ""ИХАИЛ ~З5 [",False
168,baby it's cold outside,"""ё 6",False
169,КУРСК - СТОЛИЦА СО КРАЯ,КУРС,False
170,СМЕРТЬ,ППУЕ,False
171,МАША,59 ₽Ы ^к,False
172,baby its Cold qutSide,"(( (Ш""? ((к",False
173,KING OF THE STREET,К{ы6 8Л 88Т,False
174,граждане! ПРИ АРТОБСТРЕЛЕ эта сторона улицы наиболее ОПАСНА,ПиИ ИШЕРЕН ПИПНИ НИЕЕ ШЦМ,False
175,МАТЕЛЕН НА ДОРОГЕ,ОТЕ,False
176,"МЫ 
 СЛЕДИМ",САск ЦЛШч,False
177,spring96.org,~р п996ы9,False
178,63 школа ул. широт ая,63 ШКО^А Шугозин а5 71,False
179,средняя общеобразовательная школа №,"ПГААМЕГиШа Шиитму 1, "" Глашиин Г (РЕДЦНЙЯ ПЕЦЕЛЕРАЗПШАТЕЛЪНАН пыи1; ТНти [ ЛШЕЛЩММЕАС  Ш",False
180,бизнес-центр,=анв5_ца-ц:,False
181,"АМЕНТ ОБРАЗОВАНИЯ ГОРОДА 
 ВОСТОЧНОЕ ОКРУЖНОЕ УПРАВ 
 ВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ У","РИзИкОМ: РГ}^На ПРЕНЗП ; СТЕЕННая [ >2'ко-ай ВЮЕНТ ОБРАЗОВАНИЯ ГОРОДА М ВОСТОЧНОЕ ОКРУЖНОЕОРПРАВГ ""ВЕННОЕ ОБРАЗОВАТЕЛЫНОЕ У",False
182,досугово-спортивный центр гармония,"""н"" ""ДОСУПОВО-СПОРЛЫВНЫЙ ЦЕНТР ""ТАРМТНИЯ""",False
183,"We prepare for 
 Cambridge 
 English QualificationsTM","[ы (ашэ (&е [вл @1са@ $"" ереае",False
184,Средняя школа 23,Сулняя школа 46235,False
185,"СЕЧЕНОВСКИЙ 
 УНИВЕРСИТЕТ 
 НАУК О ЖИЗНИ",СвнЕнОвскии Унивтесит НАУК 0 Жмэни,False
186,"СРЕДНЯЯ 
 ОБЩЕОБРАЗОВАТЕЛЬНАЯ 
 ШКОЛА №143",ПЛшнпчч1 тпитдклпмиыы 'чи 11нПЪ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА Ме]4з ГАЕЛГГПНЫННЛГУЧЕНПЕЧАШИЕИИИАшТОУяНГ глычпмиеиитшиннЕкшшшиипт 1тыгпшлтипигиулмнпмтлиид ШыпРиниелмтиыннтп трр,False
187,"Украинская 
 Торговая Гильдия","П~Еп:Н ЕПС ЕРЧ4енв ПЕГЕПГАНГ БмЕнг Украинская Торговая Гильдия 5.   56',зш # ",False
188,"СПОРТИВНАЯ ШКОЛА 
 ЯМАЛ","#СПРТИРИЕЯ ""ЧЯ #Ям^",False
189,ХОРОВАЯ ШКОЛА Алые паруса ОРГАННЫЙ ЗАЛ,СА!ейя Снтшный 1 еыу,False
190,СРЕДНЯЯ ШКОЛА 155,СРЕДНЯЯ ШКОЛА [155,False
191,"Здравствуй, ШКОЛА!",ШОЛА; аэ гц 0,False
192,мебели,,False
193,"ЦЕНТР 
 ПСИХОЛОГО-ПЕДАГОГИЧЕСКОЙ, 
 МЕДИЦИНСКОЙ И СОЦИАЛЬНОЙ 
 ПОМОЩИ","пмгшкнтпэтшла ?а цынн =сИх""Пата Иг л]инин пямЕИАлЪ0н ППмаП",False
194,МФЮА,шчал #ь МФ[А: Я,False
195,Управление Книги Видео,Управление- Книги Видео,False
196,Street Shop,$-г @ < ~Л' .,False
197,"СТАФФ 
 КИЕВСКИЙ КЛУБ 
 КУДО",4 [ТА4# КИЕВЕКиЙ КАУЪ КУДш,False
198,точка роста,ТОЧКА РОСТА,True
199,ЦЕНТР,"""аиомм",False
200,НАРУЖНАЯ СОГЛАСОВАНО РЕКЛАМА,{ЛГЛАСОВМНО,False
201,Территория красоты,красоты Территория,False
202,СКЛАД ОФИС ДЕМО-ЗЕЛ,СКЛАД ДЕМО-ЗАЛ ОФИС,False
203,ЛИГА,'4Й,False
204,ВЫЗОВ  ПЕРСОНАЛА,вызов ПЕРСОНАЛА ~иъагь.я' 1,False
205,Мил,Ми4,False
206,Абсолют Банк,0 (Абсолютг Баж,False
207,ОДЕЖДА,ОАЕЖМ,False
208,АПТЕКА,АПТЕК^,False
209,KUCHEND HOME,"НОМЕ ""{ОСНЕЮЦ^)",False
210,пальчики маникюр-педикюр,шальч_к_ аникюр-педикюр,False
211,город Солнца,{(,False
212,ОЛЛЕГИЯ АДКОВАТОВ г. МОСКВЫ «ПРИЗЫВНИ,"4 аппкин Адвамгуы маг П ; ,",False
213,ТЕАТР Аквариум,"ТЕАТР 4с&а/""Е4ТР",False
214,Ц,,False
215,ТВОЙ ДОКТОР,[чК ПогОТазиг ЕДЪ ШОГМ] ШУм ннянии,False
216,МИНИМАРКЕТ,минимкв д,False
217,ХЛЫНОВ,илынов,False
218,КЛАССНЫЙ У ОЛОК,кллясавшышя ял,False
219,АЗПРОМ Е,Ш,False
220,переулок якорный 10,П Е ₽ ₽ У Л якоРный 10,False
221,ПРЕЧИСТЕНКА улица,ПРЕЧИСТЕНКА У Л И Ц А,True
222,RUE DE POITOU,"ВШЕ ₽ОП"" яшш=в"";",False
223,11,,False
224,ABBEY ROAD NW8,дПЕ #ПДП Ун8,False
225,улица МОСКОВСКАЯ 5,УЛИЦА МОСКОВСКАЯ 5,True
226,улица К.МАРКСА 26,УЛИЦА К. МАРКСА 26,True
227,улица Полевая 35,ПП1 Полевая 35,False
228,11 улица ГРИБОЕДОВА,11 (вошу)у) УЛИЦА,False
229,переулокъ,"ПРПЕпЮлЪЫА ППШЧПП1 П ЕРЕУл ОКъ Пгуннг ыщлъичцыщ магн иэпгтсял€и яыг таблички г Нлынинун тпштъукгйн$ПЕы-ылшъ +ШЪ:Пэ=эъцп |ЛиЕ;ктыт""7к ш₽ППр иТиг 'рШк Ецеилга_=п7 ЧЕПП] чилн 'Хсски #[с лкслпи немпличии ииминллпн шчмавшшц {цщ5е<ллч< яыц пъшаптомиы; ""#ц69хьц 4ин &ипцин салем; ТтлнттаТЕ7тТрл 'т5ч=лы аакипкаданошшк Ничнан4",False
230,57 СОВЕТСКАЯ улица,57 СОВЕТСКАЯ улиша,False
231,28а улица ЛИЛИЙ,28а улиЦа 1 И Л,False
232,улица КООПЕРАТИВНАЯ 15,КООПЕРАТИВНАЯ УЛИЦА 15,False
233,УЛ. ЩЕПК ДОМ 29 ,"60 71: ШЕПЖИ КЫЛНАШЕ@ ДОМ 29 ""М 09 {50[ДЩ@Е?У ) 3",False
234,КАК МЫ РАБОТАЕМ,К#4К МЫ РКБОТАЕН АПЕЕТЫЫиН щнаш [ЗПшГТКЕ,False
235,18,ташши,False
236,RICE,@'С;,False
237,нут,НУТ,True
238,DONATiON,)[.А'[&,False
239,НУТ,НУТ,True
240,RICE,вс:,False
241,CAR,(А,False
242,Firefly,"<~с  ;2<* 9чазз @,а)а)а с п 6+Ф ",False
243,DONATION,[О.ТЮ&,False
244,PEACE  TRUE LOVE,"РЕД(Ч ""и: [ЭВЕ",False
245,Home,"""иЧар",False
246,ДЛЯ ХОРОШЕГО НЕФТЯННИКА,"ДАа КОРШ:П ""ФЛЯИНИК",False
247,PASTA,Р 5,False
248,ДЛЯ / ЛУЧШЕГО / ДИРЕКТОРА,ДАЯ ХУФШСГО ДИРСКТОРА,False
249,Raspberry,Яи-беу,False
250,TRAVEL,Т?АЪДЦ,False
251,NATRII HYDROCARBON,"Р72 "" . ИкОЛлс  _кеши РБАЧИЕ 'и' , , ~ека #4 н'[ @А ""} &АК]",False
252,FOOD DONATION,#ОО. )О_АТО.,False
253,ACAT BEKKY,,False
254,CanStockPhoto.com,Сап:-к-п~о сош,False
255,банк россии 10 рублей 2022,РУБЛЕЙ 2 0 22 ?оссян БАНХ 6,False
256,НотарiуС,@омдьи@,False
257,100 EURO,2 з2 00 2оя6 онь ~00=чв% 200 твон,False
258,DREA S,1,False
259,СЕЛЬД,1,False
260,ЧЕЛОВЕК ТРУДА,3 ТРУДА,False
261,"В баньку заходи, если чё",Ввчньку ЗЧХОАН; ЁсАн чё,False
262,2,,False
263,OF NATURE,Цшут {А? @Е,False
264,РОССИЮ!,Цессию .,False
265,На отопление,0 ОПОПЛРНШЕ,False
266,NK OF RUSSIA,аз ~ззи,False
267,не жалко добавь не хватает возьми,н: #АпнР ДоБлпъ .,False
268,Что за надпись ПТТ на банкоматах в Турции? Это банк?,"Что за надпись ""ПТТ"" на бакоматах в Турции? Это банк? ЧЕ}аАЕЫ",False
269,Yeb ,~ошь,False
270,СБЕР Для жизни,СБЕР Для жизни,True
271,00 EU,"ОО5""",False
272,"Эй, бизнесмены ! К вам опять из банка приходили",Адять Цйнг  Пыагнсшв темтатишя,False
273,ЧТО НИБУДЬ ПОПИТЬ СО ВКУСОМ ЛИМОНА,ЧДО НИБУДЬ ПОПИТЬ (0 ВКУСОМ ЛИМОНА,False
274,MasterCard VISA,[.%4 Пшыы,False
275,CRISIS,с ₽ [''$,False
276,САНКТ ПЕТЕРБУРГ ПЕТР I ПРЕОБРАЗОВАТЕЛЬ,<ЕТЕ ₽ Б У₽д САН Кт 3 (РЕОБРАЗОВАТЕМ?,False
277,Ces e emps des cerises,~~ Фх сежёзех ~л;' ,False
278,Сеченовский Университет,#АЯПЕАТОР РАЗРАБОТКА; ИЗГОТОВЛЕНИЕ И МОНТАЖ РЕКЛАМНЫХ КОНСТРУКЦИЙ ~жж519 365 г (пНСИНМ,False
279,НАУКОЖИЗ,#АЯПЕАТОР РАЗРАБОТКА; ИЗГОТОВЛЕНИЕ И МОНТАЖ РЕКЛАМНЫХ КОНСТРУКЦИЙ шж519 365 г Нш,False
280,московский педагогический государственный университет,ынан_ъыш 1ат паин иаисв; ТЕдемАна Бюдт ШЛПор 'овааоасиобствЕнна дЕнхт ОгзоПшЫ; 'МОСКОВСКИЙ ПЕДАГОГИЧЕСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ> Шт :шаншчэЕаи гяетысша_ан,False
281,оптика,ОПТИКА,True
282,лужский государственный университет,ВЕННЫ = € Аато,False
283,БОМБИЧЕСКАЯ ШАУРМА,БОМБИЧЕСКАЯ ШАУРМА,True
284,СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ АЭРОКОСМИЧЕСКИЙ УНИВЕРСИТЕТ имени академика М.Ф. Решетнёва,'АНИВЕРСИТЕТ ОСеМИкадемика МФ Решетнёва ГОСУДАРСТВЕННЫЙ СИБИРСКИЙ АЭРОКОСМИЧЕСКИЙ,False
285,ЕВРОПЕЙСКИЙ УНИВЕРСИТЕТ ГОСТИНАЯ ПРОФЕССОРСКИЙ КЛУБ,"щэ € олао ЕВРОЛЕЙСКЦЙ УНИВЦРСИТЕТ а  9с56 ЮОСТИНАЯ ШРОФЕССОРСКИЙ КЛУБ """"шиыелны",False
286,кристалл ювелирный магазин,КРИСТАА ШмнГАоин ~Е#мый,False
287,брэнд медиа,БРЭНД [Едид,False
288,аптека,,False
289,АПТЕКА,ЕШПТЕКА,False
290,"Акционерное общество Клинический госпиталь ""НейроВита"" ",ПланачЕскым тоспшаль вИеароВшач,False
291,Шаурма,[Шормо,False
292,УНИВЕРСИТЕТ,Уиметсин миэ,False
293,cfmoto,гшашта 'тап,False
294,государственный университет высшая школа экономики,ВЫСШАЯ 'ЭКОНОМИКИ [{И-з эжАВ Ы УНИВЕРСИТЕТ ГОСУДАРСТВЕННЫЙ ШКОПА,False
295,Жилфонд,"кЖилфонд""",False
296,ОТЧЕТ о деятельности Муниципальной библиотечной,5 Птштпынй-т Минактыпьчнймбшпагинаа 7ы0глп,False
297,ЛАВКА,и ЛАВПЕ,False
298,сележ электро,"""СЕ^ЕЖ -Э^ЕТРО",False
299,материалы 67-й универсальной научно- технической конференции студентов и молодых учёных,МАТЕРИАЛЫ,False
300,юность,юпос ь,False
301,RISE LOUTEK,3('- !ТЁ',False
302,О,,False
303,алерея,1 [ЕЕЯ 550,False
304,император ба,,False
305,КОНГРЕСС,"КОНГРЕСС 4-ш,7451ыгмипинмэч Нх",False
306,R4S,0 +~,False
307,ЦЕНТР ВРАЧЕБНОЙ КОСМЕТОЛОГИИ,ГКОСЫЕОЛогии еПеенм,False
308,Сергей Атремьевич Айвазян,Сертей Пыинп АЙвазян,False
309,HOURS O OPERATI MO  8am-6pm S - 5p  su  ,НОШ@З @*0РЕ^]( Мор Зш-6рш & (5р11 20 ЯУ ЛМрафИЮа ЭШ ПраФ7,False
310,P UM HANDMADE ODUCT COFFEE MADE SA,ГС 0 ₽ Е Е Е :|,False
311,Qudos hair design,"#0 {еяём ,;'""",False
312,Ваш Текст,"Ъч(@к%""",False
313,Я ЛЮБЛЮ,2 6 ,False
314,MIIM DESIGN PRESENTS BOM Boom 3D LETTERING with 3 color alternatives,"М М М [Е 5 1 6 # Р ₽ Е $ Е МТ $ 3 ) [ ЕТТ Е ₽ ] Ы 6 ~& 3 ~~у ""~м  }",False
315,знан ИСТИН,ЭНОН} {Ш,False
316,ВИДЕОНАБЛЮДЕНИЕ МОНТАЖ ПРОЕКТИРОВАНИЕ 8 961 536-04-12,ВИДЕОНАБЛЮДЕНИЕ МОНТАЖ ПРОЕКТИРОВАНИЕ 8 961 536-04-12,True
317,GalantClub,"(""лСеже",False
318,спасибо за больного сына,ПАСиЛз6 '1++ ДОРОЖНЫЙ ИНСПЕКТОР БАЗ Ч6т =Ъ:'_,False
319,Wash me,9],False
320,REKLAMA NAPISY NAKLEJKI,ВЕКШШ ~шы ШНКЕЛИ,False
321,Никаких больше вечеринок,"Щижожи? (04Ъ""ё {МерУток",False
322,Машина  куплена в комплекте с правами,Машина куплена в компАекте с правами,False
323,20,20,True
324,БИЗНЕС,Еизне,False
325,Ваша надпись,'аша 'набпшсь,False
326,К45,,False
327,НЕКОУЗСКИЙ,~4 Ресв: [ Ресшек некоузский,False
328,"КЛУБ РЕНО сервисы, помощь, общение, встречи",КЛУБ РЕНО сервисы; псмощъ; общение; встречи,False
329,PLAY DALNOBOY,"еи оАшово,",False
330,Ваша надпись,Шаъ Вашо,False
331,nokstv.ru,"[@@[""@Ч",False
332,СЕГОДНЯ МОЖНО,МИИ 1 |,False
333,Dicas,"г,  Тасъ",False
334,BAD GIRL 230573 POLICE DEPT.,ВА) 6'@_ 230573 РОЦСЕ [ЕРТ,False
335,1,,False
336,УПАКУЕМ ВСЁ!,ЧПНКЧЕМ ВЕЁ!,False
337,Stay wild,9  {яч;,False
338,STAR WARS,ш: ~ДР;,False
339,УСАДЬБА СЕМЬИ ТИТОВЫХ,"УСАДЬБА СЕМЬИ ТИТОВЫХ Пастраециа 2014 годт ПЕ:е""лИНГИ аЫ""иини Пшаша БППЕН= ЧШЕФЛНЕЕИНЧ Титала Сергск ЕалерЬеиЧМ УстНРНИНН: [1ты7г",False
340,KRONOS,[Ш[ 0 $,False
341,"Издательство ""Экзамен""","Издашельсшео КЭКЗАМЕН"" ш # "".1  0]? &",False
342,АДВОКАТ ЛИТВИНОВ ТА ПАРТНЕРИ,АДВОКАТ ЛИТВИОВ ТАЛАРШНЕР,False
343,СР ОБЩЕОБР ШКО А,вшша Муниыж отигастду с}шшя ОЫШРОБРАюАлыца шлам,False
344,фисный центр СПЕКТР,@фисный центр СПЕКТР,False
345,96 проспект МЕТАЛЛИСТОВ,9 проспект МЕТАЛЛИСТОВ,False
346,YACHTING Туристическая компания МДМ-Яхтин,"[ ХА СНТ1& € 1""ристичвская КОм Пания МДМ-Яхтин-:",False
347,BEER DA,"ВЕЙК@""ЬА",False
348,НОТАРIУС,"МШСТЕНТЛКЕМШли НОТАРМУС ~иичЕштшпаы4 иыча ""Еэ и5} 1 ешлиштана м",False
